Familia,Geracao,Obtivel,Especie_encontrada,Local,Detalhe
Mr. Mime,1,Sim,Mr. Mime,Lake of Rage,Land Mons (Lv 27-30)
Scyther,1,Sim,Scyther,National Park Normal,Land Mons (Lv 17-18)
Jynx,1,Sim,Jynx,Ice Path 1 F,Land Mons (Lv 32-40) [Day]
Electabuzz,1,Sim,Electabuzz,Route 44,Land Mons (Lv 36-40)
Magmar,1,Sim,Magmar,Route 44,Land Mons (Lv 33-40)
Pinsir,1,Sim,Pinsir,National Park Normal,Land Mons (Lv 17-18)
Tauros,1,Sim,Tauros,Route 39,Land Mons (Lv 19-26)
Magikarp,1,Sim,Magikarp,Route 30,Fishing Mons (Lv 10)
Lapras,1,Sim,Lapras,Mt. Silver 1 F Waterfall Room,Water Mons (Lv 40-60)
Ditto,1,Sim,Ditto,Route 47,Hidden Grotto (Lv 40)
Eevee,1,Sim,Eevee,Route 48,Land Mons (Lv 30-33)
Porygon,1,Sim,Porygon,Goldenrod Gachapon (Great Gachapon),Gachapon
Omanyte,1,Sim,Omanyte,Ruins of Alph Lab,Revived from Helix Fossil (Lv 20)
Kabuto,1,Sim,Kabuto,Whirl Islands Descent,Land Mons (Lv 40-45)
Aerodactyl,1,Sim,Aerodactyl,Faraway Island Jungle,Land Mons (Lv 52-55)
Snorlax,1,Sim,Snorlax,Nameless Cave B2 F,Land Mons (Lv 58-68)
Articuno,1,Sim,Articuno,Snowtop Mountain Outside,Legendary encounter (Lv 50)
Zapdos,1,Sim,Zapdos,Olivine City Lighthouse Top,Legendary encounter (Lv 50)
Moltres,1,Sim,Moltres,Victory Road B1 F,Legendary encounter (Lv 60)
Dratini,1,Sim,Dratini,Route 45,Fishing Mons (Lv 10)
Mewtwo,1,Sim,Mewtwo,Nameless Cave,Legendary encounter (Lv 80)
Mew,1,Sim,Mew,Faraway Island Depths,Legendary encounter (Lv 55)
Chikorita,2,Sim,Chikorita,Goldenrod Gachapon (Basic Gachapon),Gachapon
Cyndaquil,2,Sim,Cyndaquil,Goldenrod Gachapon (Basic Gachapon),Gachapon
Totodile,2,Sim,Totodile,Goldenrod Gachapon (Basic Gachapon),Gachapon
Sentret,2,Sim,Sentret,Goldenrod Gachapon (Basic Gachapon),Gachapon
Hoothoot,2,Sim,Hoothoot,Route 29,Land Mons (Lv 2-3)
Ledyba,2,Sim,Ledyba,Ilex Forest,Land Mons (Lv 11-15)
Spinarak,2,Sim,Spinarak,Route 30,Land Mons (Lv 4)
Chinchou,2,Sim,Chinchou,Route 41,Fishing Mons (Lv 20)
Togepi,2,Sim,Togepi,Violet City Pokemon Center,Gift Egg
Natu,2,Sim,Natu,Ruins of Alph Outside,Land Mons (Lv 6-8)
Mareep,2,Sim,Mareep,Route 32,Land Mons (Lv 7-10)
Marill,2,Sim,Marill,Ruins of Alph Outside,Land Mons (Lv 6-8)
Sudowoodo,2,Sim,Sudowoodo,Goldenrod Gachapon (Great Gachapon),Gachapon
Hoppip,2,Sim,Hoppip,Route 29,Land Mons (Lv 2-3)
Aipom,2,Sim,Aipom,Route 39,Land Mons (Lv 20-23)
Sunkern,2,Sim,Sunkern,National Park Normal,Land Mons (Lv 13-14)
Yanma,2,Sim,Yanma,Route 35,Land Mons (Lv 15-16)
Wooper,2,Sim,Wooper,Route 32,Land Mons (Lv 7-11)
Murkrow,2,Sim,Murkrow,Route 43,Land Mons (Lv 25-27)
Misdreavus,2,Sim,Misdreavus,Sprout Tower 2 F,Land Mons (Lv 3-7)
Unown,2,Sim,Unown,Ruins of Alph B1 F,Land Mons (Lv 5)
Wobbuffet,2,Sim,Wobbuffet,Dark Cave North Side,Land Mons (Lv 30-35) [Night]
Girafarig,2,Sim,Girafarig,Route 37,Land Mons (Lv 16-20)
Pineco,2,Sim,Pineco,Route 36,Land Mons (Lv 6-7) [Day]
Dunsparce,2,Sim,Dunsparce,Dark Cave South Side,Land Mons (Lv 3-6)
Gligar,2,Sim,Gligar,Route 45,Land Mons (Lv 40-46)
Snubbull,2,Sim,Snubbull,Route 33,Land Mons (Lv 10-13)
Qwilfish,2,Sim,Qwilfish,Route 32,Fishing Mons (Lv 20)
Shuckle,2,Sim,Shuckle,Cianwood House3,Named gift (Shuckie)
Heracross,2,Sim,Heracross,Route 48,Land Mons (Lv 30-33)
Sneasel,2,Sim,Sneasel,Ice Path 1 F,Land Mons (Lv 32-41) [Day]
Teddiursa,2,Sim,Teddiursa,Dark Cave South Side,Land Mons (Lv 3-6)
Slugma,2,Sim,Slugma,Burned Tower 1 F,Land Mons (Lv 18-21)
Swinub,2,Sim,Swinub,Ice Path 1 F,Land Mons (Lv 30-40) [Day]
Corsola,2,Sim,Corsola,Route 34,Fishing Mons (Lv 20)
Remoraid,2,Sim,Remoraid,Goldenrod Gachapon (Basic Gachapon),Gachapon
Delibird,2,Sim,Delibird,Ice Path B3 F,Land Mons (Lv 33-41) [Day]
Mantine,2,Sim,Mantine,Route 33,Water Mons (Lv 30-35)
Skarmory,2,Sim,Skarmory,Route 43,Land Mons (Lv 25-29)
Houndour,2,Sim,Houndour,Route 36,Land Mons (Lv 7-8) [Night]
Phanpy,2,Sim,Phanpy,Route 46,Land Mons (Lv 2-3)
Stantler,2,Sim,Stantler,Route 37,Land Mons (Lv 16-20)
Smeargle,2,Sim,Smeargle,Route 34,Land Mons (Lv 12-14)
Miltank,2,Sim,Miltank,Route 38,Land Mons (Lv 20-26)
Raikou,2,Sim,Raikou,New Mauville Inside Raikou,Scripted wild battle (Lv 70)
Entei,2,Sim,Entei,Magma Hideout 3 F 1 R Entei,Scripted wild battle (Lv 40)
Suicune,2,Sim,Suicune,Route25,Scripted stationary encounter (Lv 50)
Larvitar,2,Sim,Larvitar,Dark Cave South Side,Land Mons (Lv 3-6)
Lugia,2,Sim,Lugia,Whirl Islands Lugia Chamber,Legendary encounter (Lv 65)
Ho-Oh,2,Sim,Ho-Oh,Tin Tower Roof Day,Legendary encounter (Lv 65)
Celebi,2,Sim,Celebi,Ilex Forest,Scripted stationary encounter (Lv 40)
Treecko,3,Sim,Treecko,Goldenrod Gachapon (Basic Gachapon),Gachapon
Torchic,3,Sim,Torchic,Goldenrod Gachapon (Basic Gachapon),Gachapon
Mudkip,3,Sim,Mudkip,Goldenrod Gachapon (Basic Gachapon),Gachapon
Poochyena,3,Sim,Poochyena,Route 35,Land Mons (Lv 14-17)
Zigzagoon,3,Sim,Zigzagoon,Route 29,Land Mons (Lv 2-3)
Wurmple,3,Sim,Wurmple,Route 37,Land Mons (Lv 18-22)
Lotad,3,Sim,Lotad,Goldenrod Gachapon (Basic Gachapon),Gachapon
Seedot,3,Sim,Seedot,Goldenrod Gachapon (Basic Gachapon),Gachapon
Taillow,3,Sim,Taillow,Route 38,Land Mons (Lv 21-23)
Wingull,3,Sim,Wingull,Route 42,Water Mons (Lv 20-25)
Ralts,3,Sim,Ralts,Route 30,Land Mons (Lv 3-5)
Surskit,3,Sim,Surskit,Route 34,Water Mons (Lv 15-24)
Shroomish,3,Sim,Shroomish,Ilex Forest,Land Mons (Lv 10-14)
Slakoth,3,Sim,Slakoth,Route 39,Land Mons (Lv 21-23)
Nincada,3,Sim,Nincada,Ruins of Alph Outside,Land Mons (Lv 7-8)
Whismur,3,Sim,Whismur,Route 42,Land Mons (Lv 21-26)
Makuhita,3,Sim,Makuhita,Route 34,Land Mons (Lv 12-15)
Nosepass,3,Sim,Nosepass,Ruins of Alph Outside,Rock Smash Mons (Lv 30)
Skitty,3,Sim,Skitty,Route 43,Land Mons (Lv 25-27)
Sableye,3,Sim,Sableye,Lost Woods,Land Mons (Lv 28-35)
Mawile,3,Sim,Mawile,Union Cave B1 F,Land Mons (Lv 10-13)
Aron,3,Sim,Aron,Union Cave B2 F,Land Mons (Lv 21)
Meditite,3,Sim,Meditite,Goldenrod Gachapon (Basic Gachapon),Gachapon
Electrike,3,Sim,Electrike,Route 38,Land Mons (Lv 20-23)
Plusle,3,Sim,Plusle,Route 38,Land Mons (Lv 21-23)
Minun,3,Sim,Minun,Route 43,Land Mons (Lv 25-27)
Volbeat / Illumise,3,Sim,Volbeat,Kitakami Border,Land Mons (Lv 42-48)
Roselia,3,Sim,Roselia,Ilex Forest,Hidden Grotto (Lv 15)
Gulpin,3,Sim,Gulpin,Route 44,Land Mons (Lv 32-40)
Carvanha,3,Sim,Carvanha,Route 31,Fishing Mons (Lv 10)
Wailmer,3,Sim,Wailmer,South Johto Sea,Water Mons (Lv 30-35)
Numel,3,Sim,Numel,Burned Tower 1 F,Land Mons (Lv 18-22)
Torkoal,3,Sim,Torkoal,Mt Mortar Depths 1,Land Mons (Lv 45-50)
Spoink,3,Sim,Spoink,Sprout Tower 3 F,Land Mons (Lv 3-6)
Spinda,3,Sim,Spinda,Route25 Bills House,Gift
Trapinch,3,Sim,Trapinch,Vajra Desert West,Land Mons (Lv 26-28)
Cacnea,3,Sim,Cacnea,Vajra Desert West,Land Mons (Lv 26-29)
Swablu,3,Sim,Swablu,Route 38,Land Mons (Lv 21-24)
Zangoose,3,Sim,Zangoose,Route 47,Land Mons (Lv 33-50)
Seviper,3,Sim,Seviper,Route 48,Land Mons (Lv 30-32)
Lunatone,3,Sim,Lunatone,Burned Tower B1 F,Land Mons (Lv 19-21)
Solrock,3,Sim,Solrock,Lost Woods,Land Mons (Lv 28-35)
Barboach,3,Sim,Barboach,Route 35,Fishing Mons (Lv 10)
Corphish,3,Sim,Corphish,Olivine City,Water Mons (Lv 21-25)
Baltoy,3,Sim,Baltoy,Union Cave B2 F,Land Mons (Lv 22)
Lileep,3,Sim,Lileep,Whirl Islands Descent,Land Mons (Lv 40-45)
Anorith,3,Sim,Anorith,Ruins of Alph Lab,Revived from Claw Fossil (Lv 20)
Feebas,3,Sim,Feebas,Route 43,Water Mons (Lv 10-24)
Castform,3,Sim,Castform,Goldenrod Gachapon (Great Gachapon),Gachapon
Kecleon,3,Sim,Kecleon,Route 50,Land Mons (Lv 50-55)
Shuppet,3,Sim,Shuppet,Sprout Tower 2 F,Land Mons (Lv 3-7)
Duskull,3,Sim,Duskull,Sprout Tower 2 F,Land Mons (Lv 3-7)
Tropius,3,Sim,Tropius,Route 47,Land Mons (Lv 40-50)
Chimecho,3,Sim,Chimecho,Mt. Silver Mountain Side,Land Mons (Lv 55-60)
Absol,3,Sim,Absol,Route 28,Land Mons (Lv 52-58)
Snorunt,3,Sim,Snorunt,Ice Path 1 F,Land Mons (Lv 30-40) [Day]
Spheal,3,Sim,Spheal,Ice Path 1 F,Land Mons (Lv 30-40) [Day]
Clamperl,3,Sim,Clamperl,Goldenrod Gachapon (Great Gachapon),Gachapon
Relicanth,3,Sim,Relicanth,Goldenrod Gachapon (Great Gachapon),Gachapon
Luvdisc,3,Sim,Luvdisc,Route 40,Water Mons (Lv 22-26)
Bagon,3,Sim,Bagon,Dragon's Den Cavern,Land Mons (Lv 42-45) [Day]
Beldum,3,Sim,Beldum,Gift from Steven in Kitakami,Gift (Lv 15)
Regirock,3,Sim,Regirock,Regirock Chamber,Legendary encounter (Lv 50)
Regice,3,Sim,Regice,Snowtop Mountain B1 F 2,Legendary encounter (Lv 50)
Registeel,3,Sim,Registeel,Railway Cave Registeel Room,Legendary encounter (Lv 50)
Latias,3,Sim,Latias,Lati Temple Latias,Legendary encounter (Lv 80)
Latios,3,Sim,Latios,Lati Temple Latios,Legendary encounter (Lv 80)
Kyogre,3,Sim,Kyogre,Route 33 South Underwater Cave,Legendary encounter (Lv 80)
Groudon,3,Sim,Groudon,Route 50 Underwater Cave 2,Legendary encounter (Lv 80)
Rayquaza,3,Sim,Rayquaza,Embedded Tower,Legendary encounter (Lv 70)
Jirachi,3,Sim,Jirachi,Mt. Silver Summit Day,Gift Egg
Deoxys,3,Sim,Deoxys,Birth Island Exterior,Scripted stationary encounter (Lv 30)
Turtwig,4,Sim,Turtwig,Goldenrod Gachapon (Master Gachapon),Gachapon
Chimchar,4,Sim,Chimchar,Goldenrod Gachapon (Master Gachapon),Gachapon
Piplup,4,Sim,Piplup,Goldenrod Gachapon (Master Gachapon),Gachapon
Starly,4,Sim,Staravia,Route 37,Land Mons (Lv 17-21)
Bidoof,4,Sim,Bidoof,Route 29,Land Mons (Lv 2-3)
Kricketot,4,Sim,Kricketot,Route 30,Land Mons (Lv 4)
Shinx,4,Sim,Shinx,Route 31,Land Mons (Lv 4-6)
Cranidos,4,Sim,Cranidos,Ruins of Alph Outside,Rock Smash Mons (Lv 30)
Shieldon,4,Sim,Shieldon,Ruins of Alph Outside,Rock Smash Mons (Lv 30)
Burmy,4,Sim,Burmy,Ilex Forest,Land Mons (Lv 12-18)
Combee,4,Sim,Combee,Route 31,Land Mons (Lv 5-6)
Pachirisu,4,Sim,Pachirisu,Route 33,Land Mons (Lv 11-14)
Buizel,4,Sim,Buizel,Route 31,Land Mons (Lv 4)
Cherubi,4,Sim,Cherubi,Ilex Forest,Land Mons (Lv 12-16)
Shellos,4,Sim,Shellos,Route 30,Water Mons (Lv 15-24)
Drifloon,4,Sim,Drifloon,Route 42,Land Mons (Lv 22-26)
Buneary,4,Sim,Buneary,Route 38,Land Mons (Lv 21-24)
Glameow,4,Sim,Glameow,Route 46,Land Mons (Lv 2-4)
Stunky,4,Sim,Stunky,Route 32,Land Mons (Lv 7-12)
Bronzor,4,Sim,Bronzor,Tin Tower 5 F,Land Mons (Lv 40-45)
Chatot,4,Sim,Chatot,Route 33,Land Mons (Lv 11-14)
Spiritomb,4,Sim,Spiritomb,Kitakami Mountain 1 F,Land Mons (Lv 42-49)
Gible,4,Sim,Gible,Kitakami Well B1 F,Land Mons (Lv 50-55)
Riolu,4,Sim,Riolu,Tohjo Falls Cavern,Land Mons (Lv 28-30) [Day]
Hippopotas,4,Sim,Hippopotas,Vajra Desert West,Land Mons (Lv 26-29)
Skorupi,4,Sim,Skorupi,Route 42,Land Mons (Lv 20-24)
Croagunk,4,Sim,Croagunk,Route 34,Land Mons (Lv 14-16)
Carnivine,4,Sim,Carnivine,National Park Normal,Land Mons (Lv 14-17)
Finneon,4,Sim,Finneon,Route 34,Fishing Mons (Lv 10)
Snover,4,Sim,Snover,Ice Path 1 F,Land Mons (Lv 31-40) [Day]
Rotom,4,Sim,Rotom,Nameless Cave 1 F,Land Mons (Lv 58-69)
Uxie,4,Sim,Uxie,Acuity Cavern,Legendary encounter (Lv 50)
Mesprit,4,Sim,Mesprit,Verity Cavern,Legendary encounter (Lv 50)
Azelf,4,Sim,Azelf,Valor Cavern,Legendary encounter (Lv 50)
Dialga,4,Sim,Dialga,Spear Pillar Top,Legendary encounter (Lv 85)
Palkia,4,Sim,Palkia,Spear Pillar Top,Legendary encounter (Lv 85)
Heatran,4,Sim,Heatran,Mt Mortar Depths 1,Legendary encounter (Lv 70)
Regigigas,4,Sim,Regigigas,Mt. Silver 1 F Regigigas Room,Legendary encounter (Lv 70)
Giratina,4,Sim,Giratina,Spear Pillar Top,Legendary encounter (Lv 85)
Cresselia,4,Sim,Cresselia,Lake of Rage Cresselia Den,Legendary encounter (Lv 60)
Manaphy,4,Sim,Phione,South Johto Sea,Fishing Mons (Lv 5)
Darkrai,4,Sim,Darkrai,Darkrai Inn Final Room,Legendary encounter (Lv 70)
Shaymin,4,Sim,Shaymin,Dream Garden,Legendary encounter (Lv 50)
Arceus,4,Sim,Arceus,Gift from Oak (Pokédex completion reward),Gift Egg
Victini,5,Sim,Victini,Kitakami Road House,Gift (Lv 50)
Snivy,5,Sim,Snivy,Goldenrod Gachapon (Master Gachapon),Gachapon
Tepig,5,Sim,Tepig,Goldenrod Gachapon (Master Gachapon),Gachapon
Oshawott,5,Sim,Oshawott,Goldenrod Gachapon (Master Gachapon),Gachapon
Patrat,5,Sim,Patrat,Route 29,Land Mons (Lv 2)
Lillipup,5,Sim,Lillipup,Route 32,Land Mons (Lv 7-12)
Purrloin,5,Sim,Purrloin,Route 35,Land Mons (Lv 16-20)
Pansage,5,Sim,Pansage,Ilex Forest,Land Mons (Lv 12-16)
Pansear,5,Sim,Pansear,Burned Tower 1 F,Land Mons (Lv 19-23)
Panpour,5,Sim,Panpour,Ilex Forest,Land Mons (Lv 12-16)
Munna,5,Sim,Munna,Sprout Tower 2 F,Land Mons (Lv 3-7)
Pidove,5,Sim,Pidove,Route 29,Land Mons (Lv 2)
Blitzle,5,Sim,Blitzle,Route 38,Land Mons (Lv 19-26)
Roggenrola,5,Sim,Roggenrola,Union Cave 1 F,Land Mons (Lv 9-13)
Woobat,5,Sim,Woobat,Dark Cave South Side,Land Mons (Lv 4-6)
Drilbur,5,Sim,Drilbur,Tohjo Falls Cavern,Land Mons (Lv 30) [Day]
Audino,5,Sim,Audino,Kitakami Border,Land Mons (Lv 42-48)
Timburr,5,Sim,Timburr,Mt Mortar 1 F South,Land Mons (Lv 22-28)
Tympole,5,Sim,Tympole,Route 32,Fishing Mons (Lv 10)
Throh,5,Sim,Throh,Mt Mortar B1 F,Land Mons (Lv 22-28)
Sawk,5,Sim,Sawk,Mt Mortar B1 F,Land Mons (Lv 21-28)
Sewaddle,5,Sim,Sewaddle,National Park Normal,Land Mons (Lv 13-14)
Venipede,5,Sim,Venipede,Ilex Forest,Land Mons (Lv 11-15)
Cottonee,5,Sim,Cottonee,Route 30,Land Mons (Lv 3-4)
Petilil,5,Sim,Petilil,Route 32,Land Mons (Lv 7-11)
Basculin,5,Sim,Basculin,Mt. Silver Outside,Fishing Mons (Lv 10)
Sandile,5,Sim,Sandile,Cianwood City,Rock Smash Mons (Lv 20-22)
Darumaka,5,Sim,Darumaka,Route 49,Land Mons (Lv 24-28)
Maractus,5,Sim,Maractus,Vajra Desert West,Land Mons (Lv 26-30)
Dwebble,5,Sim,Dwebble,Cliff Edge Cave,Rock Smash Mons (Lv 28-31)
Scraggy,5,Sim,Scraggy,Route 49,Land Mons (Lv 24-28)
Sigilyph,5,Sim,Sigilyph,Ruins of Alph Outside,Land Mons (Lv 7-8)
Yamask,5,Sim,Yamask,Sprout Tower 2 F,Land Mons (Lv 3-6)
Tirtouga,5,Sim,Tirtouga,Ruins of Alph Lab,Revived from Cover Fossil; fossil found via Rock Smash in Ruins of Alph (Lv 20)
Archen,5,Sim,Archen,Ruins of Alph Lab,Revived from Plume Fossil; fossil found via Rock Smash in Ruins of Alph (Lv 20)
Trubbish,5,Sim,Trubbish,Route 34,Land Mons (Lv 10-16)
Zorua,5,Sim,Zorua,Ruins of Alph Outside,Land Mons (Lv 7-8)
Minccino,5,Sim,Minccino,Route 35,Land Mons (Lv 15-17)
Gothita,5,Sim,Gothita,Sprout Tower 3 F,Land Mons (Lv 3-8)
Solosis,5,Sim,Solosis,Route 43,Land Mons (Lv 25-27)
Ducklett,5,Sim,Ducklett,Route 35,Land Mons (Lv 14-18)
Vanillite,5,Sim,Vanillite,Ice Path 1 F,Land Mons (Lv 32-41) [Day]
Deerling,5,Sim,Deerling,Route 36,Land Mons (Lv 8) [Day]
Emolga,5,Sim,Emolga,Route 42,Land Mons (Lv 20-24)
Karrablast,5,Sim,Karrablast,Route 36,Land Mons (Lv 7-8) [Night]
Foongus,5,Sim,Foongus,Ilex Forest,Land Mons (Lv 11-15)
Frillish,5,Sim,Frillish,Olivine City,Water Mons (Lv 20-24)
Alomomola,5,Sim,Alomomola,Cianwood City,Fishing Mons (Lv 40)
Joltik,5,Sim,Joltik,Ilex Forest,Land Mons (Lv 10-14)
Ferroseed,5,Sim,Ferroseed,Route 44,Land Mons (Lv 32-40)
Klink,5,Sim,Klink,Railway Cave,Land Mons (Lv 26-29)
Tynamo,5,Sim,Tynamo,Railway Cave,Land Mons (Lv 25-28)
Elgyem,5,Sim,Elgyem,Ruins of Alph Outside,Land Mons (Lv 7-8)
Litwick,5,Sim,Litwick,Burned Tower 1 F,Land Mons (Lv 18-23)
Axew,5,Sim,Fraxure,Victory Road B2 F,Land Mons (Lv 51-58)
Cubchoo,5,Sim,Cubchoo,Ice Path B1 F,Land Mons (Lv 33-40) [Day]
Cryogonal,5,Sim,Cryogonal,Ice Path B3 F,Land Mons (Lv 34-41) [Day]
Shelmet,5,Sim,Shelmet,Ilex Forest,Land Mons (Lv 10-15)
Stunfisk,5,Sim,Stunfisk,Railway Cave,Land Mons (Lv 25-28)
Mienfoo,5,Sim,Mienfoo,Route 49,Land Mons (Lv 24-26)
Druddigon,5,Sim,Druddigon,Dragon's Den Cavern,Land Mons (Lv 45-55) [Day]
Golett,5,Sim,Golett,Mt Mortar 1 F South,Land Mons (Lv 22-28)
Pawniard,5,Sim,Pawniard,Tohjo Falls Cavern,Land Mons (Lv 28-30) [Day]
Bouffalant,5,Sim,Bouffalant,Route 48,Land Mons (Lv 30-34)
Rufflet,5,Sim,Rufflet,Route 48,Land Mons (Lv 30-33)
Vullaby,5,Sim,Vullaby,Vajra Desert West,Land Mons (Lv 26-30)
Heatmor,5,Sim,Heatmor,Burned Tower B1 F,Land Mons (Lv 19-23)
Durant,5,Sim,Durant,Union Cave B2 F,Land Mons (Lv 23)
Deino,5,Sim,Deino,Tohjo Falls Cavern,Land Mons (Lv 30) [Day]
Larvesta,5,Sim,Larvesta,Route 47,Hidden Grotto (Lv 40)
Cobalion,5,Sim,Cobalion,Railway Cave 3 F,Legendary encounter (Lv 80)
Terrakion,5,Sim,Terrakion,Dark Cave North Side,Legendary encounter (Lv 80)
Virizion,5,Sim,Virizion,Route 50,Legendary encounter (Lv 80)
Tornadus,5,Sim,Tornadus,Battle Cafe,Gift (indirect/selectable)
Thundurus,5,Sim,Thundurus,Battle Cafe,Gift (indirect/selectable)
Reshiram,5,Nao,,,
Zekrom,5,Nao,,,
Landorus,5,Sim,Landorus,Battle Cafe,Gift (indirect/selectable)
Kyurem,5,Nao,,,
Keldeo,5,Nao,,,
Meloetta,5,Sim,Meloetta,Ecruteak City Theater,Legendary encounter (Lv 65)
Genesect,5,Sim,Genesect,Abandoned Rocket Hideout Backroom,Legendary encounter (Lv 70)
Chespin,6,Sim,Chespin,Goldenrod Gachapon (Master Gachapon),Gachapon
Fennekin,6,Sim,Fennekin,Goldenrod Gachapon (Master Gachapon),Gachapon
Froakie,6,Sim,Froakie,Route 45,Water Mons (Lv 5-24)
Bunnelby,6,Sim,Bunnelby,Route 29,Land Mons (Lv 2)
Fletchling,6,Sim,Fletchling,Ruins of Alph Outside,Land Mons (Lv 6-8)
Scatterbug,6,Sim,Scatterbug,National Park Normal,Land Mons (Lv 14-17)
Litleo,6,Sim,Litleo,Burned Tower 1 F,Land Mons (Lv 18-22)
Flabebe,6,Sim,Floette,Tohjo Pass,Land Mons (Lv 30-40)
Skiddo,6,Sim,Skiddo,Route 34,Land Mons (Lv 13-15)
Pancham,6,Sim,Pancham,Route 34,Land Mons (Lv 14-16)
Furfrou,6,Sim,Furfrou,Route 35,Land Mons (Lv 15-17)
Espurr,6,Sim,Espurr,Route 37,Land Mons (Lv 16-23)
Honedge,6,Sim,Honedge,Goldenrod Dept Store,In-game trade (requires Clefairy)
Spritzee,6,Sim,Spritzee,National Park Normal,Land Mons (Lv 14-15)
Swirlix,6,Sim,Swirlix,Route 36,Land Mons (Lv 7-8) [Night]
Inkay,6,Sim,Inkay,Mt. Silver Outside,Water Mons (Lv 34-40)
Binacle,6,Sim,Binacle,Route 40,Rock Smash Mons (Lv 20-25)
