valor,dec,nome,bloco,status,leituras,escritas,arquivos,mapas,escopo,comentario
0xA,10,FLAG_TEMP_A,TEMP,EM_USO,2,6,5,GoldenrodCity_DepartmentStore_5F;IcePath_B4F;MtMortar_Depths_1,MULTI_MAPA(3),Unused Flag
0xB,11,FLAG_TEMP_B,TEMP,NUNCA_REFERENCIADA,0,0,0,,,Unused Flag
0xC,12,FLAG_TEMP_C,TEMP,NUNCA_REFERENCIADA,0,0,0,,,Unused Flag
0xD,13,FLAG_TEMP_D,TEMP,NUNCA_REFERENCIADA,0,0,0,,,Unused Flag
0xE,14,FLAG_TEMP_E,TEMP,EM_USO,0,0,5,NewBarkTown,MAPA_UNICO:NewBarkTown,"When set, follower pokemon won't be spawned"
0xE,14,FLAG_TEMP_HIDE_FOLLOWER,TEMP,EM_USO,2,12,13,BattleFrontier_BattleDomeBattleRoom;DarkraiInn1;DarkraiInn1Ruined;DarkraiInnFinalRoom,GLOBAL(codigo),
0xF,15,FLAG_TEMP_F,TEMP,NUNCA_REFERENCIADA,0,0,0,,,Unused Flag
0x10,16,FLAG_TEMP_10,TEMP,EM_USO,2,2,6,CeruleanCave_B1F;CliffEdgeCave;Kitakami_Houses,MULTI_MAPA(3),Unused Flag
0x11,17,FLAG_TEMP_11,TEMP,EM_USO,0,0,26,Route110_TrickHousePuzzle4;Route120,MULTI_MAPA(2),
0x11,17,FLAG_TEMP_HIDE_MIRAGE_ISLAND_BERRY_TREE,TEMP,SO_MAPAS_FORA_DA_ROM,0,0,1,,,
0x12,18,FLAG_TEMP_12,TEMP,EM_USO,0,1,31,MtEmber_RubyPath_1F_Frlg;MtEmber_RubyPath_B1F_Frlg;MtEmber_RubyPath_B1F_Stairs_Frlg;MtEmber_RubyPath_B2F_Frlg,MULTI_MAPA(10),
0x13,19,FLAG_TEMP_13,TEMP,EM_USO,0,1,26,MtEmber_RubyPath_1F_Frlg;MtEmber_RubyPath_B1F_Frlg;MtEmber_RubyPath_B2F_Frlg;MtEmber_RubyPath_B2F_Stairs_Frlg,MULTI_MAPA(8),
0x14,20,FLAG_TEMP_14,TEMP,EM_USO,0,1,21,IlexForest;MtEmber_RubyPath_1F_Frlg;MtEmber_RubyPath_B1F_Frlg;MtEmber_RubyPath_B2F_Frlg,MULTI_MAPA(9),
0x15,21,FLAG_TEMP_15,TEMP,EM_USO,0,1,21,MtEmber_RubyPath_1F_Frlg;MtEmber_RubyPath_B1F_Frlg;MtEmber_RubyPath_B2F_Frlg;MtEmber_RubyPath_B3F_Frlg,MULTI_MAPA(8),
0x16,22,FLAG_TEMP_16,TEMP,EM_USO,0,1,16,MtEmber_RubyPath_1F_Frlg;MtEmber_RubyPath_B3F_Frlg;MtEmber_SummitPath_2F_Frlg;Route110_TrickHousePuzzle1,MULTI_MAPA(6),
0x17,23,FLAG_TEMP_17,TEMP,EM_USO,0,1,11,MtEmber_RubyPath_B3F_Frlg;MtEmber_SummitPath_2F_Frlg;Route110_TrickHousePuzzle1;Route110_TrickHousePuzzle4,MULTI_MAPA(4),
0x18,24,FLAG_TEMP_18,TEMP,EM_USO,0,1,8,MtEmber_SummitPath_2F_Frlg;Route110_TrickHousePuzzle1;Route110_TrickHousePuzzle4,MULTI_MAPA(3),
0x19,25,FLAG_TEMP_19,TEMP,EM_USO,0,1,9,MtEmber_SummitPath_2F_Frlg;Route110_TrickHousePuzzle1;Route110_TrickHousePuzzle4,MULTI_MAPA(3),
0x1A,26,FLAG_TEMP_1A,TEMP,EM_USO,0,1,5,MtEmber_SummitPath_2F_Frlg;Route110_TrickHousePuzzle4,MULTI_MAPA(2),
0x1B,27,FLAG_TEMP_1B,TEMP,EM_USO,0,1,5,Route110_TrickHousePuzzle1,MAPA_UNICO:Route110_TrickHousePuzzle1,
0x1C,28,FLAG_TEMP_1C,TEMP,EM_USO,0,1,5,Route110_TrickHousePuzzle1,MAPA_UNICO:Route110_TrickHousePuzzle1,
0x1D,29,FLAG_TEMP_1D,TEMP,SO_MAPAS_FORA_DA_ROM,0,1,3,,,
0x1E,30,FLAG_TEMP_1E,TEMP,EM_USO,0,1,4,Route110_TrickHousePuzzle1,MAPA_UNICO:Route110_TrickHousePuzzle1,
0x1F,31,FLAG_TEMP_1F,TEMP,SO_MAPAS_FORA_DA_ROM,0,1,3,,,
0x20,32,FLAG_SYS_NO_COLLISION,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,Unused Flag //DEBUG
0x21,33,FLAG_SYS_NO_ENCOUNTER,SCRIPT/EVENT,EM_USO,0,0,1,,GLOBAL(codigo),Unused Flag //DEBUG
0x22,34,FLAG_SYS_NO_TRAINER_SEE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,Unused Flag //DEBUG
0x23,35,FLAG_SYS_NO_BAG_USE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,Unused Flag //DEBUG
0x24,36,FLAG_SYS_NO_CATCHING,SCRIPT/EVENT,SO_ESCRITA,0,36,6,Route41;SaffronCity_FightingDojo,MULTI_MAPA(2),Unused Flag //DEBUG
0x25,37,FLAG_SYS_PC_FROM_DEBUG_MENU,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,Unused Flag //DEBUG
0x26,38,FLAG_ARCEUS_EGG_GIVE,SCRIPT/EVENT,EM_USO,2,2,3,GoldenrodCity_RadioTower_2F,MAPA_UNICO:GoldenrodCity_RadioTower_2F,
0x27,39,FLAG_SYS_NO_BATTLE_DMG,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,Unused Flag //DEBUG
0x28,40,FLAG_ONETIME_GROUDON,SCRIPT/EVENT,EM_USO,2,2,2,Route50UnderwaterCave2,MAPA_UNICO:Route50UnderwaterCave2,
0x29,41,FLAG_ONETIME_KYOGRE,SCRIPT/EVENT,EM_USO,2,2,2,Route33South_UnderwaterCave,MAPA_UNICO:Route33South_UnderwaterCave,
0x2A,42,FLAG_SNOWTOP_ABILITY_PATCH,SCRIPT/EVENT,EM_USO,0,0,1,SnowtopMountain_B1F,MAPA_UNICO:SnowtopMountain_B1F,
0x2B,43,FLAG_SYS_SET_BATTLE_BGM,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,0,7,3,,,Changes BGM
0x2C,44,FLAG_WONDERTRADE_FIRSTIME,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x2D,45,FLAG_NO_WT_BECAUSE_CHALLENGE,SCRIPT/EVENT,SO_LEITURA,3,0,1,BattleFrontier_ExchangeServiceCorner,MAPA_UNICO:BattleFrontier_ExchangeServiceCorner,
0x2E,46,FLAG_CIANWOOD_GOLDEN_BOTTLECAP,SCRIPT/EVENT,EM_USO,0,0,3,CianwoodCity,MAPA_UNICO:CianwoodCity,
0x2F,47,FLAG_DOME_FOSSIL_ALTERING_CAVE,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,0,0,1,,,
0x30,48,FLAG_GOT_REDORB,SCRIPT/EVENT,EM_USO,2,2,2,Route50UnderwaterCave2,MAPA_UNICO:Route50UnderwaterCave2,
0x31,49,FLAG_GOT_BLUEORB,SCRIPT/EVENT,EM_USO,2,2,2,Route33South_UnderwaterCave,MAPA_UNICO:Route33South_UnderwaterCave,
0x32,50,FLAG_HIDE_POSTGAME_OAK,SCRIPT/EVENT,EM_USO,0,4,3,GoldenrodCity_RadioTower_2F,MAPA_UNICO:GoldenrodCity_RadioTower_2F,
0x33,51,FLAG_GOT_GRISEOUS_ORB,SCRIPT/EVENT,EM_USO,2,2,2,SpearPillarTop,MAPA_UNICO:SpearPillarTop,
0x34,52,FLAG_HIDE_BATTLE_CAFE_OPPONENT,SCRIPT/EVENT,EM_USO,0,2,3,BattleCafe,MAPA_UNICO:BattleCafe,
0x35,53,FLAG_CAUGHT_MELOETTA,SCRIPT/EVENT,EM_USO,1,2,2,EcruteakCity_Theater;PokemonLeague_HallOfFame,MULTI_MAPA(2),
0x36,54,FLAG_CAFE_INTRO_DONE,SCRIPT/EVENT,EM_USO,2,2,2,BattleCafe,MAPA_UNICO:BattleCafe,
0x37,55,FLAG_GOT_ADAMANT_ORB,SCRIPT/EVENT,EM_USO,2,2,2,SpearPillarTop,MAPA_UNICO:SpearPillarTop,
0x38,56,FLAG_GOT_LUSTROUS_ORB,SCRIPT/EVENT,EM_USO,2,2,2,SpearPillarTop,MAPA_UNICO:SpearPillarTop,
0x39,57,FLAG_TM_TORMENT,SCRIPT/EVENT,EM_USO,0,0,1,BurnedTower_1F,MAPA_UNICO:BurnedTower_1F,
0x3A,58,FLAG_PENDING_DAYCARE_EGG_SHINY,SCRIPT/EVENT,EM_USO,3,5,3,Route34_DayCare,GLOBAL(codigo),
0x3B,59,FLAG_DEFEATED_REGIELEKI,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x3C,60,FLAG_ROUTE42_ROOMSERVICE,SCRIPT/EVENT,EM_USO,0,0,1,Route42,MAPA_UNICO:Route42,
0x3D,61,FLAG_HIDE_REGIDRAGO,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x3E,62,FLAG_SAPPHIRE_KECLEON,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x3F,63,FLAG_SYS_BRAILLE_REGIDRAGO_COMPLETED,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x40,64,FLAG_DEFEATED_REGIDRAGO,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x41,65,FLAG_DEFEATED_DUSKNOIR,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x42,66,FLAG_SYS_BRAILLE_REGIGIGAS_COMPLETED,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x43,67,FLAG_DEFEATED_REGIGIGAS,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x44,68,FLAG_HIDE_REGIGIGAS,SCRIPT/EVENT,EM_USO,0,3,4,MtSilver_1F_RegigigasRoom;PokemonLeague_HallOfFame,MULTI_MAPA(2),
0x45,69,FLAG_DEFEATED_ARTICUNO,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,2,1,,,
0x46,70,FLAG_DEFEATED_ZAPDOS,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,2,1,,,
0x47,71,FLAG_DEFEATED_MOLTRES,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,2,1,,,
0x48,72,FLAG_HIDE_ARTICUNO,SCRIPT/EVENT,EM_USO,0,7,9,PokemonLeague_HallOfFame;SSAqua_1F;SeafoamIslands_B1F;SnowtopMountainOutside,MULTI_MAPA(4),
0x49,73,FLAG_HIDE_ZAPDOS,SCRIPT/EVENT,EM_USO,2,7,9,OlivineCity_LighthouseTop;PokemonLeague_HallOfFame;Route10;SSAqua_1F,MULTI_MAPA(4),
0x4A,74,FLAG_HIDE_MOLTRES,SCRIPT/EVENT,EM_USO,0,7,8,MtEmber_Summit_Frlg;PokemonLeague_HallOfFame;SSAqua_1F;VictoryRoadKanto_B1F,MULTI_MAPA(4),
0x4B,75,FLAG_DEFEATED_MEWTWO,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,2,1,,,
0x4C,76,FLAG_HIDE_MEWTWO,SCRIPT/EVENT,EM_USO,0,8,7,CeruleanCave_B2F;PokemonLeague_HallOfFame;SSAqua_1F,MULTI_MAPA(3),
0x4D,77,FLAG_UNLOCK_BIRDS,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,3,0,3,,,
0x4E,78,FLAG_UNLOCK_MEWTWO,SCRIPT/EVENT,EM_USO,1,1,2,FarawayIsland_Interior,MAPA_UNICO:FarawayIsland_Interior,
0x4F,79,FLAG_RASH_MINT_METEOR_FALLS,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x50,80,FLAG_GARBAGEFLAG_STILL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x51,81,FLAG_SET_WALL_CLOCK,SCRIPT/EVENT,EM_USO,4,4,4,NewBarkTown_PlayersHouse_2F,GLOBAL(codigo),
0x52,82,FLAG_RESCUED_BIRCH,SCRIPT/EVENT,EM_USO,3,1,3,,GLOBAL(codigo),
0x53,83,FLAG_GARBAGEFLAG,SCRIPT/EVENT,EM_USO,276,538,317,BattleFrontier_ExchangeServiceCorner;BattleFrontier_Mart;DewfordTown_Hall;FarawayIsland_Interior,GLOBAL(codigo),used to store calls of removed flags
0x54,84,FLAG_LIMIT_TO_50,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x55,85,FLAG_UNLOCK_DOGS,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x56,86,FLAG_HIDE_CONTEST_POKE_BALL,SCRIPT/EVENT,EM_USO,0,1,2,ContestHall,GLOBAL(codigo),"Always set after new game, object it hides is added directly"
0x57,87,FLAG_MET_RIVAL_MOM,SCRIPT/EVENT,SO_ESCRITA,0,2,2,LittlerootTown_BrendansHouse_1F;LittlerootTown_MaysHouse_1F,MULTI_MAPA(2),
0x58,88,FLAG_BIRCH_AIDE_MET,SCRIPT/EVENT,EM_USO,2,2,2,LittlerootTown_ProfessorBirchsLab,MAPA_UNICO:LittlerootTown_ProfessorBirchsLab,
0x59,89,FLAG_DECLINED_BIKE,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x5A,90,FLAG_RECEIVED_BIKE,SCRIPT/EVENT,EM_USO,3,5,5,GoldenrodCity;GoldenrodCity_BikeShop,MULTI_MAPA(2),HnS used
0x5B,91,FLAG_WATTSON_REMATCH_AVAILABLE,SCRIPT/EVENT,EM_USO,2,1,3,MauvilleCity,GLOBAL(codigo),
0x5C,92,FLAG_COLLECTED_ALL_SILVER_SYMBOLS,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x5D,93,FLAG_GOOD_LUCK_SAFARI_ZONE,SCRIPT/EVENT,EM_USO,1,7,5,FuchsiaCity_SafariZoneEntrance;Route121_SafariZoneGate_SafariZoneEntrance;SafariZoneGate_SafariZoneEntrance,GLOBAL(codigo),Set after talking to NPC blocking Safari Zone entrance/exit once.
0x5E,94,FLAG_GARBAGEFLAG2,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x5F,95,FLAG_RECEIVED_POKEBLOCK_CASE,SCRIPT/EVENT,EM_USO,3,1,2,LilycoveCity_ContestLobby,GLOBAL(codigo),
0x60,96,FLAG_RECEIVED_SECRET_POWER,SCRIPT/EVENT,EM_USO,3,1,3,,GLOBAL(codigo),
0x61,97,FLAG_MET_TEAM_AQUA_HARBOR,SCRIPT/EVENT,EM_USO,0,1,2,,GLOBAL(codigo),
0x62,98,FLAG_TV_EXPLAINED,SCRIPT/EVENT,EM_USO,1,1,1,MauvilleCity,MAPA_UNICO:MauvilleCity,
0x63,99,FLAG_MAUVILLE_GYM_BARRIERS_STATE,SCRIPT/EVENT,EM_USO,3,3,2,MauvilleCity;MauvilleCity_Gym,MULTI_MAPA(2),
0x64,100,FLAG_HIDE_NEWBARK_RIVAL,SCRIPT/EVENT,EM_USO,0,4,5,MtSilver_SummitDay;NewBarkTown_House3;Route32,MULTI_MAPA(3),Until postgame
0x65,101,FLAG_MOSSDEEP_GYM_SWITCH_2,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,2,3,2,,,
0x66,102,FLAG_MOSSDEEP_GYM_SWITCH_3,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,2,3,2,,,
0x67,103,FLAG_MOSSDEEP_GYM_SWITCH_4,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,2,3,2,,,
0x68,104,FLAG_OLD_AMBER_ALTERING_CAVE,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,0,0,1,,,
0x69,105,FLAG_OCEANIC_MUSEUM_MET_REPORTER,SCRIPT/EVENT,EM_USO,1,1,1,,GLOBAL(codigo),
0x6A,106,FLAG_RECEIVED_HM_STRENGTH,SCRIPT/EVENT,EM_USO,2,3,4,OlivineCity_Cafe,GLOBAL(codigo),
0x6B,107,FLAG_RECEIVED_HM_ROCK_SMASH,SCRIPT/EVENT,EM_USO,3,3,3,Route36,MAPA_UNICO:Route36,
0x6C,108,FLAG_WHITEOUT_TO_LAVARIDGE,SCRIPT/EVENT,EM_USO,2,2,3,LavaridgeTown,GLOBAL(codigo),"Set after defeating Flannery, so the player cant white out from poison before receiving Go Goggles"
0x6D,109,FLAG_RECEIVED_HM_FLASH,SCRIPT/EVENT,EM_USO,3,3,3,SproutTower_3F,MAPA_UNICO:SproutTower_3F,
0x6E,110,FLAG_RECEIVED_HM_FLY,SCRIPT/EVENT,EM_USO,3,3,4,CianwoodCity;Route119,MULTI_MAPA(2),
0x6F,111,FLAG_GROUDON_AWAKENED_MAGMA_HIDEOUT,SCRIPT/EVENT,EM_USO,2,0,2,,GLOBAL(codigo),
0x70,112,FLAG_TEAM_AQUA_ESCAPED_IN_SUBMARINE,SCRIPT/EVENT,EM_USO,5,1,4,,GLOBAL(codigo),
0x71,113,FLAG_GOT_FRESH_WATER,SCRIPT/EVENT,EM_USO,2,2,2,BattleCafe,MAPA_UNICO:BattleCafe,
0x72,114,FLAG_SCOTT_CALL_BATTLE_FRONTIER,SCRIPT/EVENT,EM_USO,1,4,3,LittlerootTown_ProfessorBirchsLab,GLOBAL(codigo),"Used in order to activate a phone call from Scott, inviting the player to the SS Tidal."
0x73,115,FLAG_RECEIVED_METEORITE,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x74,116,FLAG_ADVENTURE_STARTED,SCRIPT/EVENT,EM_USO,10,9,14,LittlerootTown_ProfessorBirchsLab;NewBarkTown;NewBarkTown_Lab;NewBarkTown_PlayersHouse_1F,GLOBAL(codigo),elivered egg to professor ELM
0x75,117,FLAG_DEFEATED_MAGMA_SPACE_CENTER,SCRIPT/EVENT,EM_USO,1,2,2,MossdeepCity_SpaceCenter_2F,GLOBAL(codigo),Set when Team Magma is defeated at Mossdeep's Space Center.
0x76,118,FLAG_MET_HIDDEN_POWER_GIVER,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x77,119,FLAG_CANCEL_BATTLE_ROOM_CHALLENGE,SCRIPT/EVENT,EM_USO,1,3,3,BattleFrontier_BattleTowerLobby,GLOBAL(codigo),
0x78,120,FLAG_LANDMARK_MIRAGE_TOWER,SCRIPT/EVENT,EM_USO,0,2,4,,GLOBAL(codigo),
0x79,121,FLAG_RECEIVED_TM_BRICK_BREAK,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x7A,122,FLAG_RECEIVED_HM_SURF,SCRIPT/EVENT,EM_USO,5,7,4,EcruteakCity_Theater;NewBarkTown_Lab,MULTI_MAPA(2),
0x7B,123,FLAG_RECEIVED_HM_DIVE,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,2,2,2,,,
0x7C,124,FLAG_REGISTER_RIVAL_POKENAV,SCRIPT/EVENT,EM_USO,3,3,2,NewBarkTown_PlayersHouse_1F,MAPA_UNICO:NewBarkTown_PlayersHouse_1F,
0x7D,125,FLAG_DEFEATED_RIVAL_ROUTE_104,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,2,0,1,,,
0x7E,126,FLAG_DEFEATED_WALLY_VICTORY_ROAD,SCRIPT/EVENT,EM_USO,4,0,4,,GLOBAL(codigo),
0x7F,127,FLAG_MET_PRETTY_PETAL_SHOP_OWNER,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,0,1,,,
0x80,128,FLAG_ENABLE_ROXANNE_FIRST_CALL,SCRIPT/EVENT,EM_USO,1,2,3,RustboroCity_Gym,GLOBAL(codigo),Set after defeating Brawly. This will activate a call with Roxanne in order to register her.
0x81,129,FLAG_KYOGRE_ESCAPED_SEAFLOOR_CAVERN,SCRIPT/EVENT,EM_USO,8,1,7,SootopolisCity,GLOBAL(codigo),
0x82,130,FLAG_DEFEATED_RIVAL_ROUTE103,SCRIPT/EVENT,EM_USO,1,1,2,LittlerootTown_MaysHouse_1F,MAPA_UNICO:LittlerootTown_MaysHouse_1F,
0x83,131,FLAG_TM_INFESTATION,SCRIPT/EVENT,EM_USO,0,1,2,OlivineCity_Lighthouse,GLOBAL(codigo),
0x84,132,FLAG_RECEIVED_POTION_OLDALE,SCRIPT/EVENT,EM_USO,2,1,1,OldaleTown,MAPA_UNICO:OldaleTown,
0x85,133,FLAG_RECEIVED_AMULET_COIN,SCRIPT/EVENT,EM_USO,1,1,1,,GLOBAL(codigo),
0x86,134,FLAG_PENDING_DAYCARE_EGG,SCRIPT/EVENT,EM_USO,1,8,5,Route34_DayCare,GLOBAL(codigo),
0x87,135,FLAG_THANKED_FOR_PLAYING_WITH_WALLY,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x88,136,FLAG_ENABLE_FIRST_WALLY_POKENAV_CALL,SCRIPT/EVENT,EM_USO,1,2,2,MauvilleCity,GLOBAL(codigo),Set after defeating Wally outside Mauville Gym. Will activate a call later to register Wally.
0x89,137,FLAG_RECEIVED_HM_CUT,SCRIPT/EVENT,EM_USO,1,3,3,IlexForest,MAPA_UNICO:IlexForest,
0x8A,138,FLAG_SCOTT_CALL_FORTREE_GYM,SCRIPT/EVENT,EM_USO,1,2,3,Route119,GLOBAL(codigo),Triggers call from Scott after defeating Winona
0x8B,139,FLAG_DEFEATED_EVIL_TEAM_MT_CHIMNEY,SCRIPT/EVENT,EM_USO,5,0,6,LavaridgeTown,GLOBAL(codigo),
0x8C,140,FLAG_RECEIVED_6_SODA_POP,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x8D,141,FLAG_DEFEATED_SEASHORE_HOUSE,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x8E,142,FLAG_DEVON_GOODS_STOLEN,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,5,2,4,,,
0x8F,143,FLAG_RECOVERED_DEVON_GOODS,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,5,1,4,,,
0x90,144,FLAG_RETURNED_DEVON_GOODS,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,4,1,2,,,
0x91,145,FLAG_CAUGHT_LUGIA,SCRIPT/EVENT,EM_USO,4,4,5,EcruteakCity;WhirlIslands_LugiaChamber,GLOBAL(codigo),
0x92,146,FLAG_CAUGHT_HO_OH,SCRIPT/EVENT,EM_USO,4,4,5,EcruteakCity;TinTower_RoofDay,GLOBAL(codigo),
0x93,147,FLAG_MR_BRINEY_SAILING_INTRO,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x94,148,FLAG_DOCK_REJECTED_DEVON_GOODS,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,2,1,2,,,
0x95,149,FLAG_DELIVERED_DEVON_GOODS,SCRIPT/EVENT,EM_USO,6,1,7,,GLOBAL(codigo),
0x96,150,FLAG_HIDE_ALPH_PUZZLE_NPCS,SCRIPT/EVENT,EM_USO,0,5,4,RuinsOfAlph_B1F;RuinsOfAlph_Outside;RuinsOfAlph_PuzzleAndRewardChambers,GLOBAL(codigo),
0x97,151,FLAG_RECEIVED_CASTFORM,SCRIPT/EVENT,EM_USO,1,1,2,Route119_WeatherInstitute_2F,GLOBAL(codigo),
0x98,152,FLAG_RECEIVED_SUPER_ROD,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x99,153,FLAG_RUSTBORO_NPC_TRADE_COMPLETED,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x9A,154,FLAG_PACIFIDLOG_NPC_TRADE_COMPLETED,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x9B,155,FLAG_FORTREE_NPC_TRADE_COMPLETED,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x9C,156,FLAG_BATTLE_FRONTIER_TRADE_DONE,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x9D,157,FLAG_FORCE_MIRAGE_TOWER_VISIBLE,SCRIPT/EVENT,EM_USO,1,4,5,MauvilleCity,GLOBAL(codigo),
0x9E,158,FLAG_SOOTOPOLIS_ARCHIE_MAXIE_LEAVE,SCRIPT/EVENT,EM_USO,5,1,2,SootopolisCity,MAPA_UNICO:SootopolisCity,
0x9F,159,FLAG_INTERACTED_WITH_DEVON_EMPLOYEE_GOODS_STOLEN,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,0,1,1,,,
0xA0,160,FLAG_COOL_PAINTING_MADE,SCRIPT/EVENT,EM_USO,2,1,2,LilycoveCity_ContestLobby,MAPA_UNICO:LilycoveCity_ContestLobby,
0xA1,161,FLAG_BEAUTY_PAINTING_MADE,SCRIPT/EVENT,EM_USO,2,1,2,LilycoveCity_ContestLobby,MAPA_UNICO:LilycoveCity_ContestLobby,
0xA2,162,FLAG_CUTE_PAINTING_MADE,SCRIPT/EVENT,EM_USO,2,1,2,LilycoveCity_ContestLobby,MAPA_UNICO:LilycoveCity_ContestLobby,
0xA3,163,FLAG_SMART_PAINTING_MADE,SCRIPT/EVENT,EM_USO,2,1,2,LilycoveCity_ContestLobby,MAPA_UNICO:LilycoveCity_ContestLobby,
