Familia,FlagConfig,Geracao,DexRange,NumEspecies,Membros,Flag,Tipos,InnatesCompletos,InnatesRatio,GruposOvo,JaReferenciado,Evidencia
SENTRET,P_FAMILY_SENTRET,2,161-162,2,"Sentret, Furret",Comum,NORMAL,Sim,2/2,EGG_GROUP_FIELD,gacha,src/data/pokemon/species_info/gen_2_families.h:951
LEDYBA,P_FAMILY_LEDYBA,2,165-166,2,"Ledyba, Ledian",Comum,"BUG, FLYING",Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_2_families.h:1254
SUNKERN,P_FAMILY_SUNKERN,2,191-192,2,"Sunkern, Sunflora",Comum,GRASS,Sim,2/2,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_2_families.h:3271
PINECO,P_FAMILY_PINECO,2,204-205,2,"Pineco, Forretress",Comum,BUG,Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_2_families.h:4675
SNUBBULL,P_FAMILY_SNUBBULL,2,209-210,2,"Snubbull, Granbull",Comum,FAIRY,Sim,2/2,"EGG_GROUP_FIELD, EGG_GROUP_FAIRY",,src/data/pokemon/species_info/gen_2_families.h:5207
SHUCKLE,P_FAMILY_SHUCKLE,2,213,1,Shuckle,Comum,"BUG, ROCK",Sim,1/1,EGG_GROUP_BUG,script_gift_var,src/data/pokemon/species_info/gen_2_families.h:5587
SLUGMA,P_FAMILY_SLUGMA,2,218-219,2,"Slugma, Magcargo",Comum,FIRE,Sim,2/2,EGG_GROUP_AMORPHOUS,,src/data/pokemon/species_info/gen_2_families.h:6468
REMORAID,P_FAMILY_REMORAID,2,223-224,2,"Remoraid, Octillery",Comum,WATER,Sim,2/2,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_2",gacha,src/data/pokemon/species_info/gen_2_families.h:7102
SMEARGLE,P_FAMILY_SMEARGLE,2,235,1,Smeargle,Comum,NORMAL,Sim,1/1,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_2_families.h:8176
POOCHYENA,P_FAMILY_POOCHYENA,3,261-262,2,"Poochyena, Mightyena",Comum,DARK,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:959
WURMPLE,P_FAMILY_WURMPLE,3,265-269,5,"Wurmple, Silcoon, Beautifly, Cascoon, Dustox",Comum,BUG,Sim,5/5,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_3_families.h:1491
LOTAD,P_FAMILY_LOTAD,3,270-272,3,"Lotad, Lombre, Ludicolo",Comum,"WATER, GRASS",Sim,3/3,"EGG_GROUP_WATER_1, EGG_GROUP_GRASS",gacha; script_gift,src/data/pokemon/species_info/gen_3_families.h:1932
SEEDOT,P_FAMILY_SEEDOT,3,273-275,3,"Seedot, Nuzleaf, Shiftry",Comum,GRASS,Sim,3/3,"EGG_GROUP_FIELD, EGG_GROUP_GRASS",gacha,src/data/pokemon/species_info/gen_3_families.h:2175
TAILLOW,P_FAMILY_TAILLOW,3,276-277,2,"Taillow, Swellow",Comum,"NORMAL, FLYING",Sim,2/2,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_3_families.h:2439
SURSKIT,P_FAMILY_SURSKIT,3,283-284,2,"Surskit, Masquerain",Comum,"BUG, WATER",Sim,2/2,"EGG_GROUP_WATER_1, EGG_GROUP_BUG",,src/data/pokemon/species_info/gen_3_families.h:3306
SLAKOTH,P_FAMILY_SLAKOTH,3,287-289,3,"Slakoth, Vigoroth, Slaking",Comum,NORMAL,Sim,3/3,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:3635
WHISMUR,P_FAMILY_WHISMUR,3,293-295,3,"Whismur, Loudred, Exploud",Comum,NORMAL,Sim,3/3,"EGG_GROUP_MONSTER, EGG_GROUP_FIELD",,src/data/pokemon/species_info/gen_3_families.h:4108
SKITTY,P_FAMILY_SKITTY,3,300-301,2,"Skitty, Delcatty",Comum,NORMAL,Sim,2/2,"EGG_GROUP_FIELD, EGG_GROUP_FAIRY",,src/data/pokemon/species_info/gen_3_families.h:4651
PLUSLE,P_FAMILY_PLUSLE,3,311,1,Plusle,Comum,ELECTRIC,Sim,1/1,EGG_GROUP_FAIRY,,src/data/pokemon/species_info/gen_3_families.h:5918
MINUN,P_FAMILY_MINUN,3,312,1,Minun,Comum,ELECTRIC,Sim,1/1,EGG_GROUP_FAIRY,,src/data/pokemon/species_info/gen_3_families.h:5998
VOLBEAT_ILLUMISE,P_FAMILY_VOLBEAT_ILLUMISE,3,313-314,2,"Volbeat, Illumise",Comum,BUG,Sim,2/2,"EGG_GROUP_BUG, EGG_GROUP_HUMAN_LIKE",,src/data/pokemon/species_info/gen_3_families.h:6078
GULPIN,P_FAMILY_GULPIN,3,316-317,2,"Gulpin, Swalot",Comum,POISON,Sim,2/2,EGG_GROUP_AMORPHOUS,,src/data/pokemon/species_info/gen_3_families.h:6504
WAILMER,P_FAMILY_WAILMER,3,320-321,2,"Wailmer, Wailord",Comum,WATER,Sim,2/2,"EGG_GROUP_FIELD, EGG_GROUP_WATER_2",,src/data/pokemon/species_info/gen_3_families.h:6917
SPOINK,P_FAMILY_SPOINK,3,325-326,2,"Spoink, Grumpig",Comum,PSYCHIC,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:7408
SPINDA,P_FAMILY_SPINDA,3,327,1,Spinda,Comum,NORMAL,Sim,1/1,"EGG_GROUP_FIELD, EGG_GROUP_HUMAN_LIKE",script_gift,src/data/pokemon/species_info/gen_3_families.h:7563
ZANGOOSE,P_FAMILY_ZANGOOSE,3,335,1,Zangoose,Comum,NORMAL,Sim,1/1,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:8287
SEVIPER,P_FAMILY_SEVIPER,3,336,1,Seviper,Comum,POISON,Sim,1/1,"EGG_GROUP_FIELD, EGG_GROUP_DRAGON",,src/data/pokemon/species_info/gen_3_families.h:8366
LUNATONE,P_FAMILY_LUNATONE,3,337,1,Lunatone,Comum,"ROCK, PSYCHIC",Sim,1/1,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_3_families.h:8446
SOLROCK,P_FAMILY_SOLROCK,3,338,1,Solrock,Comum,"ROCK, PSYCHIC",Sim,1/1,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_3_families.h:8529
CORPHISH,P_FAMILY_CORPHISH,3,341-342,2,"Corphish, Crawdaunt",Comum,WATER,Sim,2/2,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_3",,src/data/pokemon/species_info/gen_3_families.h:8785
ANORITH,P_FAMILY_ANORITH,3,347-348,2,"Anorith, Armaldo",Comum,"ROCK, BUG",Sim,2/2,EGG_GROUP_WATER_3,script_gift; script_gift_var,src/data/pokemon/species_info/gen_3_families.h:9254
CASTFORM,P_FAMILY_CASTFORM,3,351,1,Castform,Comum,NORMAL,Sim,1/1,"EGG_GROUP_FAIRY, EGG_GROUP_AMORPHOUS",gacha; script_gift,src/data/pokemon/species_info/gen_3_families.h:9593
KECLEON,P_FAMILY_KECLEON,3,352,1,Kecleon,Comum,NORMAL,Sim,1/1,EGG_GROUP_FIELD,static_battle,src/data/pokemon/species_info/gen_3_families.h:9926
CLAMPERL,P_FAMILY_CLAMPERL,3,366-368,3,"Clamperl, Huntail, Gorebyss",Comum,WATER,Sim,3/3,EGG_GROUP_WATER_1,gacha,src/data/pokemon/species_info/gen_3_families.h:11669
RELICANTH,P_FAMILY_RELICANTH,3,369,1,Relicanth,Comum,"WATER, ROCK",Sim,1/1,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_2",gacha,src/data/pokemon/species_info/gen_3_families.h:11897
LUVDISC,P_FAMILY_LUVDISC,3,370,1,Luvdisc,Comum,WATER,Sim,1/1,EGG_GROUP_WATER_2,,src/data/pokemon/species_info/gen_3_families.h:11986
BIDOOF,P_FAMILY_BIDOOF,4,399-400,2,"Bidoof, Bibarel",Comum,NORMAL,Sim,2/2,"EGG_GROUP_WATER_1, EGG_GROUP_FIELD",,src/data/pokemon/species_info/gen_4_families.h:1024
KRICKETOT,P_FAMILY_KRICKETOT,4,401-402,2,"Kricketot, Kricketune",Comum,BUG,Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_4_families.h:1196
CRANIDOS,P_FAMILY_CRANIDOS,4,408-409,2,"Cranidos, Rampardos",Comum,ROCK,Sim,2/2,EGG_GROUP_MONSTER,,src/data/pokemon/species_info/gen_4_families.h:1641
SHIELDON,P_FAMILY_SHIELDON,4,410-411,2,"Shieldon, Bastiodon",Comum,"ROCK, STEEL",Sim,2/2,EGG_GROUP_MONSTER,,src/data/pokemon/species_info/gen_4_families.h:1784
BURMY,P_FAMILY_BURMY,4,412-414,3,"Burmy, Wormadam, MOTHIM_PLANT",Comum,BUG,NÃO,2/3,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_4_families.h:1926
COMBEE,P_FAMILY_COMBEE,4,415-416,2,"Combee, Vespiquen",Comum,"BUG, FLYING",Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_4_families.h:2414
CHERUBI,P_FAMILY_CHERUBI,4,420-421,2,"Cherubi, Cherrim",Comum,GRASS,Sim,2/2,"EGG_GROUP_FAIRY, EGG_GROUP_GRASS",,src/data/pokemon/species_info/gen_4_families.h:2838
GLAMEOW,P_FAMILY_GLAMEOW,4,431-432,2,"Glameow, Purugly",Comum,NORMAL,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_4_families.h:3708
STUNKY,P_FAMILY_STUNKY,4,434-435,2,"Stunky, Skuntank",Comum,"POISON, DARK",Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_4_families.h:3854
BRONZOR,P_FAMILY_BRONZOR,4,436-437,2,"Bronzor, Bronzong",Comum,"STEEL, PSYCHIC",Sim,2/2,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_4_families.h:3998
CHATOT,P_FAMILY_CHATOT,4,441,1,Chatot,Comum,"NORMAL, FLYING",Sim,1/1,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_4_families.h:4153
CROAGUNK,P_FAMILY_CROAGUNK,4,453-454,2,"Croagunk, Toxicroak",Comum,"POISON, FIGHTING",Sim,2/2,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_4_families.h:5330
CARNIVINE,P_FAMILY_CARNIVINE,4,455,1,Carnivine,Comum,GRASS,Sim,1/1,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_4_families.h:5503
PATRAT,P_FAMILY_PATRAT,5,504-505,2,"Patrat, Watchog",Comum,NORMAL,NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:887
LILLIPUP,P_FAMILY_LILLIPUP,5,506-508,3,"Lillipup, Herdier, Stoutland",Comum,NORMAL,NÃO,0/3,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:1030
PURRLOIN,P_FAMILY_PURRLOIN,5,509-510,2,"Purrloin, Liepard",Comum,DARK,NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:1254
PANSAGE,P_FAMILY_PANSAGE,5,511-512,2,"Pansage, Simisage",Comum,GRASS,NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:1394
PANSEAR,P_FAMILY_PANSEAR,5,513-514,2,"Pansear, Simisear",Comum,FIRE,NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:1536
PANPOUR,P_FAMILY_PANPOUR,5,515-516,2,"Panpour, Simipour",Comum,WATER,NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:1679
MUNNA,P_FAMILY_MUNNA,5,517-518,2,"Munna, Musharna",Comum,PSYCHIC,NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:1818
PIDOVE,P_FAMILY_PIDOVE,5,519-521,3,"Pidove, Tranquill, Unfezant",Comum,"NORMAL, FLYING",NÃO,0/3,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_5_families.h:1967
BLITZLE,P_FAMILY_BLITZLE,5,522-523,2,"Blitzle, Zebstrika",Comum,ELECTRIC,NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:2203
ROGGENROLA,P_FAMILY_ROGGENROLA,5,524-526,3,"Roggenrola, Boldore, Gigalith",Comum,ROCK,NÃO,0/3,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_5_families.h:2346
WOOBAT,P_FAMILY_WOOBAT,5,527-528,2,"Woobat, Swoobat",Comum,"PSYCHIC, FLYING",NÃO,0/2,"EGG_GROUP_FIELD, EGG_GROUP_FLYING",,src/data/pokemon/species_info/gen_5_families.h:2584
TIMBURR,P_FAMILY_TIMBURR,5,532-534,3,"Timburr, Gurdurr, Conkeldurr",Comum,FIGHTING,NÃO,0/3,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_5_families.h:3110
TYMPOLE,P_FAMILY_TYMPOLE,5,535-537,3,"Tympole, Palpitoad, Seismitoad",Comum,WATER,NÃO,0/3,EGG_GROUP_WATER_1,,src/data/pokemon/species_info/gen_5_families.h:3323
THROH,P_FAMILY_THROH,5,538,1,Throh,Comum,FIGHTING,NÃO,0/1,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_5_families.h:3543
SAWK,P_FAMILY_SAWK,5,539,1,Sawk,Comum,FIGHTING,NÃO,0/1,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_5_families.h:3615
DWEBBLE,P_FAMILY_DWEBBLE,5,557-558,2,"Dwebble, Crustle",Comum,"BUG, ROCK",NÃO,0/2,"EGG_GROUP_BUG, EGG_GROUP_MINERAL",,src/data/pokemon/species_info/gen_5_families.h:5638
SIGILYPH,P_FAMILY_SIGILYPH,5,561,1,Sigilyph,Comum,"PSYCHIC, FLYING",NÃO,0/1,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_5_families.h:5998
TIRTOUGA,P_FAMILY_TIRTOUGA,5,564-565,2,"Tirtouga, Carracosta",Comum,"WATER, ROCK",NÃO,0/2,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_3",,src/data/pokemon/species_info/gen_5_families.h:6363
TRUBBISH,P_FAMILY_TRUBBISH,5,568-569,2,"Trubbish, Garbodor",Comum,POISON,NÃO,0/2,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_5_families.h:6660
GOTHITA,P_FAMILY_GOTHITA,5,574-576,3,"Gothita, Gothorita, Gothitelle",Comum,PSYCHIC,NÃO,0/3,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_5_families.h:7300
DUCKLETT,P_FAMILY_DUCKLETT,5,580-581,2,"Ducklett, Swanna",Comum,"WATER, FLYING",NÃO,0/2,"EGG_GROUP_WATER_1, EGG_GROUP_FLYING",,src/data/pokemon/species_info/gen_5_families.h:7745
VANILLITE,P_FAMILY_VANILLITE,5,582-584,3,"Vanillite, Vanillish, Vanilluxe",Comum,ICE,NÃO,0/3,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_5_families.h:7889
DEERLING,P_FAMILY_DEERLING,5,585-586,2,"Deerling, Sawsbuck",Comum,"NORMAL, GRASS",NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:8116
KARRABLAST,P_FAMILY_KARRABLAST,5,588-589,2,"Karrablast, Escavalier",Comum,BUG,Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_5_families.h:8721
FOONGUS,P_FAMILY_FOONGUS,5,590-591,2,"Foongus, Amoonguss",Comum,"GRASS, POISON",NÃO,0/2,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_5_families.h:8862
FRILLISH,P_FAMILY_FRILLISH,5,592-593,2,"Frillish, Jellicent",Comum,"WATER, GHOST",NÃO,0/2,EGG_GROUP_AMORPHOUS,,src/data/pokemon/species_info/gen_5_families.h:9012
ALOMOMOLA,P_FAMILY_ALOMOMOLA,5,594,1,Alomomola,Comum,WATER,NÃO,0/1,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_2",,src/data/pokemon/species_info/gen_5_families.h:9195
KLINK,P_FAMILY_KLINK,5,599-601,3,"Klink, Klang, Klinklang",Comum,STEEL,NÃO,0/3,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_5_families.h:9568
ELGYEM,P_FAMILY_ELGYEM,5,605-606,2,"Elgyem, Beheeyem",Comum,PSYCHIC,NÃO,0/2,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_5_families.h:10081
CUBCHOO,P_FAMILY_CUBCHOO,5,613-614,2,"Cubchoo, Beartic",Comum,ICE,NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:10729
CRYOGONAL,P_FAMILY_CRYOGONAL,5,615,1,Cryogonal,Comum,ICE,NÃO,0/1,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_5_families.h:10878
SHELMET,P_FAMILY_SHELMET,5,616-617,2,"Shelmet, Accelgor",Comum,BUG,NÃO,0/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_5_families.h:10952
DRUDDIGON,P_FAMILY_DRUDDIGON,5,621,1,Druddigon,Comum,DRAGON,NÃO,0/1,"EGG_GROUP_DRAGON, EGG_GROUP_MONSTER",,src/data/pokemon/species_info/gen_5_families.h:11384
BOUFFALANT,P_FAMILY_BOUFFALANT,5,626,1,Bouffalant,Comum,NORMAL,NÃO,0/1,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:11884
HEATMOR,P_FAMILY_HEATMOR,5,631,1,Heatmor,Comum,FIRE,NÃO,0/1,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_5_families.h:12317
DURANT,P_FAMILY_DURANT,5,632,1,Durant,Comum,"BUG, STEEL",NÃO,0/1,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_5_families.h:12387
BUNNELBY,P_FAMILY_BUNNELBY,6,659-660,2,"Bunnelby, Diggersby",Comum,NORMAL,NÃO,0/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_6_families.h:975
SCATTERBUG,P_FAMILY_SCATTERBUG,6,664-666,3,"SCATTERBUG_ICY_SNOW, SPEWPA_ICY_SNOW, VIVILLON_ICY_SNOW",Comum,,NÃO,0/3,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_6_families.h:1399
PANCHAM,P_FAMILY_PANCHAM,6,674-675,2,"Pancham, Pangoro",Comum,FIGHTING,NÃO,0/2,"EGG_GROUP_FIELD, EGG_GROUP_HUMAN_LIKE",,src/data/pokemon/species_info/gen_6_families.h:2551
FURFROU,P_FAMILY_FURFROU,6,676,1,FURFROU_NATURAL,Comum,,NÃO,0/1,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_6_families.h:2762
SPRITZEE,P_FAMILY_SPRITZEE,6,682-683,2,"Spritzee, Aromatisse",Comum,FAIRY,NÃO,0/2,EGG_GROUP_FAIRY,,src/data/pokemon/species_info/gen_6_families.h:3402
SWIRLIX,P_FAMILY_SWIRLIX,6,684-685,2,"Swirlix, Slurpuff",Comum,FAIRY,NÃO,0/2,EGG_GROUP_FAIRY,,src/data/pokemon/species_info/gen_6_families.h:3546
HELIOPTILE,P_FAMILY_HELIOPTILE,6,694-695,2,"Helioptile, Heliolisk",Comum,"ELECTRIC, NORMAL",NÃO,0/2,"EGG_GROUP_MONSTER, EGG_GROUP_DRAGON",,src/data/pokemon/species_info/gen_6_families.h:4468
DEDENNE,P_FAMILY_DEDENNE,6,702,1,Dedenne,Comum,"ELECTRIC, FAIRY",NÃO,0/1,"EGG_GROUP_FIELD, EGG_GROUP_FAIRY",,src/data/pokemon/species_info/gen_6_families.h:5050
CARBINK,P_FAMILY_CARBINK,6,703,1,Carbink,Comum,"ROCK, FAIRY",NÃO,0/1,"EGG_GROUP_FAIRY, EGG_GROUP_MINERAL",,src/data/pokemon/species_info/gen_6_families.h:5121
PUMPKABOO,P_FAMILY_PUMPKABOO,6,710-711,2,"Pumpkaboo, Gourgeist",Comum,"GHOST, GRASS",NÃO,0/2,EGG_GROUP_AMORPHOUS,,src/data/pokemon/species_info/gen_6_families.h:5789
PIKIPEK,P_FAMILY_PIKIPEK,7,731-733,3,"Pikipek, Trumbeak, Toucannon",Comum,"NORMAL, FLYING",Sim,3/3,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_7_families.h:774
YUNGOOS,P_FAMILY_YUNGOOS,7,734-735,2,"Yungoos, Gumshoos",Comum,NORMAL,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_7_families.h:990
WISHIWASHI,P_FAMILY_WISHIWASHI,7,746,1,Wishiwashi,Comum,WATER,Sim,1/1,EGG_GROUP_WATER_2,,src/data/pokemon/species_info/gen_7_families.h:2544
MUDBRAY,P_FAMILY_MUDBRAY,7,749-750,2,"Mudbray, Mudsdale",Comum,GROUND,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_7_families.h:2827
DEWPIDER,P_FAMILY_DEWPIDER,7,751-752,2,"Dewpider, Araquanid",Comum,"WATER, BUG",Sim,2/2,"EGG_GROUP_WATER_1, EGG_GROUP_BUG",,src/data/pokemon/species_info/gen_7_families.h:2971
FOMANTIS,P_FAMILY_FOMANTIS,7,753-754,2,"Fomantis, Lurantis",Comum,GRASS,Sim,2/2,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_7_families.h:3177
MORELULL,P_FAMILY_MORELULL,7,755-756,2,"Morelull, Shiinotic",Comum,"GRASS, FAIRY",Sim,2/2,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_7_families.h:3376
SALANDIT,P_FAMILY_SALANDIT,7,757-758,2,"Salandit, Salazzle",Comum,"POISON, FIRE",Sim,2/2,"EGG_GROUP_MONSTER, EGG_GROUP_DRAGON",,src/data/pokemon/species_info/gen_7_families.h:3514
STUFFUL,P_FAMILY_STUFFUL,7,759-760,2,"Stufful, Bewear",Comum,"NORMAL, FIGHTING",Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_7_families.h:3717
BOUNSWEET,P_FAMILY_BOUNSWEET,7,761-763,3,"Bounsweet, Steenee, Tsareena",Comum,GRASS,Sim,3/3,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_7_families.h:3859
COMFEY,P_FAMILY_COMFEY,7,764,1,Comfey,Comum,FAIRY,Sim,1/1,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_7_families.h:4064
ORANGURU,P_FAMILY_ORANGURU,7,765,1,Oranguru,Comum,"NORMAL, PSYCHIC",Sim,1/1,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_7_families.h:4135
PASSIMIAN,P_FAMILY_PASSIMIAN,7,766,1,Passimian,Comum,FIGHTING,Sim,1/1,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_7_families.h:4206
SANDYGAST,P_FAMILY_SANDYGAST,7,769-770,2,"Sandygast, Palossand",Comum,"GHOST, GROUND",Sim,2/2,EGG_GROUP_AMORPHOUS,,src/data/pokemon/species_info/gen_7_families.h:4481
TYPE_NULL,P_FAMILY_TYPE_NULL,7,772-773,2,"Type: Null, SILVALLY_NORMAL",Sublendário,NORMAL,Sim,2/2,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:4690
MINIOR,P_FAMILY_MINIOR,7,774,1,MINIOR_METEOR_RED,Comum,,NÃO,0/1,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_7_families.h:4959
KOMALA,P_FAMILY_KOMALA,7,775,1,Komala,Comum,NORMAL,Sim,1/1,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_7_families.h:4976
TURTONATOR,P_FAMILY_TURTONATOR,7,776,1,Turtonator,Comum,"FIRE, DRAGON",Sim,1/1,"EGG_GROUP_MONSTER, EGG_GROUP_DRAGON",,src/data/pokemon/species_info/gen_7_families.h:5044
TOGEDEMARU,P_FAMILY_TOGEDEMARU,7,777,1,Togedemaru,Comum,"ELECTRIC, STEEL",Sim,1/1,"EGG_GROUP_FIELD, EGG_GROUP_FAIRY",,src/data/pokemon/species_info/gen_7_families.h:5117
BRUXISH,P_FAMILY_BRUXISH,7,779,1,Bruxish,Comum,"WATER, PSYCHIC",Sim,1/1,EGG_GROUP_WATER_2,,src/data/pokemon/species_info/gen_7_families.h:5497
NIHILEGO,P_FAMILY_NIHILEGO,7,793,1,Nihilego,Ultra Beast,"ROCK, POISON",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:6638
BUZZWOLE,P_FAMILY_BUZZWOLE,7,794,1,Buzzwole,Ultra Beast,"BUG, FIGHTING",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:6711
PHEROMOSA,P_FAMILY_PHEROMOSA,7,795,1,Pheromosa,Ultra Beast,"BUG, FIGHTING",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:6784
