NatDex,Geracao,Especie,Const,BaseOuForma,Familia,Flag,Tipos,NumInnates,Innates,FonteInnates,GruposOvo,JaReferenciadoNoJogo,Evidencia
25,1,Pikachu,SPECIES_PIKACHU_PHD,forma,PIKACHU,Comum,ELECTRIC,2,"ABILITY_PLUS, ABILITY_BATTERY",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3359
25,1,Pikachu,SPECIES_PIKACHU_POP_STAR,forma,PIKACHU,Comum,ELECTRIC,2,"ABILITY_PLUS, ABILITY_BATTERY",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3304
25,1,Pikachu,SPECIES_PIKACHU_ROCK_STAR,forma,PIKACHU,Comum,ELECTRIC,2,"ABILITY_PLUS, ABILITY_BATTERY",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3195
25,1,Pikachu,SPECIES_PIKACHU_SINNOH,forma,PIKACHU,Comum,ELECTRIC,3,"ABILITY_PLUS, ABILITY_BATTERY, ABILITY_BATTLE_BOND",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3587
25,1,Pikachu,SPECIES_PIKACHU_UNOVA,forma,PIKACHU,Comum,ELECTRIC,3,"ABILITY_PLUS, ABILITY_BATTERY, ABILITY_BATTLE_BOND",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3645
25,1,Pikachu,SPECIES_PIKACHU_WORLD,forma,PIKACHU,Comum,ELECTRIC,3,"ABILITY_PLUS, ABILITY_BATTERY, ABILITY_BATTLE_BOND",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3878
46,1,Paras,SPECIES_PARAS,base,PARAS,Comum,"BUG, GRASS",1,ABILITY_OWN_TEMPO,entrada,"EGG_GROUP_BUG, EGG_GROUP_GRASS",,src/data/pokemon/species_info/gen_1_families.h:6701
47,1,Parasect,SPECIES_PARASECT,base,PARAS,Comum,"BUG, GRASS",3,"ABILITY_OWN_TEMPO, ABILITY_OBLIVIOUS, ABILITY_VITAL_SPIRIT",entrada,"EGG_GROUP_BUG, EGG_GROUP_GRASS",,src/data/pokemon/species_info/gen_1_families.h:6793
48,1,Venonat,SPECIES_VENONAT,base,VENONAT,Comum,"BUG, POISON",1,ABILITY_POISON_TOUCH,entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_1_families.h:6876
49,1,Venomoth,SPECIES_VENOMOTH,base,VENONAT,Comum,"BUG, POISON",3,"ABILITY_POISON_TOUCH, ABILITY_LEVITATE, ABILITY_TOXIC_DEBRIS",entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_1_families.h:6956
54,1,Psyduck,SPECIES_PSYDUCK,base,PSYDUCK,Comum,WATER,1,ABILITY_BERSERK,entrada,"EGG_GROUP_WATER_1, EGG_GROUP_FIELD",,src/data/pokemon/species_info/gen_1_families.h:7887
55,1,Golduck,SPECIES_GOLDUCK,base,PSYDUCK,Comum,WATER,3,"ABILITY_ILLUMINATE, ABILITY_STORM_DRAIN, ABILITY_RAIN_DISH",entrada,"EGG_GROUP_WATER_1, EGG_GROUP_FIELD",,src/data/pokemon/species_info/gen_1_families.h:7961
84,1,Doduo,SPECIES_DODUO,base,DODUO,Comum,"NORMAL, FLYING",2,"ABILITY_QUICK_FEET, ABILITY_INNER_FOCUS",entrada,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_1_families.h:11768
85,1,Dodrio,SPECIES_DODRIO,base,DODUO,Comum,"NORMAL, FLYING",3,"ABILITY_QUICK_FEET, ABILITY_MOODY, ABILITY_STAKEOUT",entrada,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_1_families.h:11857
96,1,Drowzee,SPECIES_DROWZEE,base,DROWZEE,Comum,PSYCHIC,1,ABILITY_GLUTTONY,entrada,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_1_families.h:13200
97,1,Hypno,SPECIES_HYPNO,base,DROWZEE,Comum,PSYCHIC,3,"ABILITY_OWN_TEMPO, ABILITY_SYNCHRONIZE, ABILITY_PRESSURE",entrada,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_1_families.h:13280
98,1,Krabby,SPECIES_KRABBY,base,KRABBY,Comum,WATER,1,ABILITY_REGENERATOR,entrada,EGG_GROUP_WATER_3,,src/data/pokemon/species_info/gen_1_families.h:13374
99,1,Kingler,SPECIES_KINGLER,base,KRABBY,Comum,WATER,3,"ABILITY_REGENERATOR, ABILITY_HUSTLE, ABILITY_MOLD_BREAKER",entrada,EGG_GROUP_WATER_3,,src/data/pokemon/species_info/gen_1_families.h:13449
99,1,Kingler,SPECIES_KINGLER_GMAX,forma,KRABBY,Comum,WATER,3,"ABILITY_WATER_VEIL, ABILITY_HUSTLE, ABILITY_MOLD_BREAKER",entrada,EGG_GROUP_WATER_3,,src/data/pokemon/species_info/gen_1_families.h:13523
118,1,Goldeen,SPECIES_GOLDEEN,base,GOLDEEN,Comum,WATER,1,ABILITY_MARVEL_SCALE,entrada,EGG_GROUP_WATER_2,,src/data/pokemon/species_info/gen_1_families.h:16196
119,1,Seaking,SPECIES_SEAKING,base,GOLDEEN,Comum,WATER,3,"ABILITY_MARVEL_SCALE, ABILITY_STORM_DRAIN, ABILITY_DAMP",entrada,EGG_GROUP_WATER_2,,src/data/pokemon/species_info/gen_1_families.h:16288
124,1,Jynx,SPECIES_JYNX,base,JYNX,Comum,"ICE, PSYCHIC",3,"ABILITY_CUTE_CHARM, ABILITY_DANCER, ABILITY_OWN_TEMPO",entrada,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_1_families.h:17326
138,1,Omanyte,SPECIES_OMANYTE,base,OMANYTE,Comum,"ROCK, WATER",1,ABILITY_LIMBER,entrada,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_3",script_gift@data/maps/RuinsOfAlph_Lab/scripts.inc:538; script_gift_var@data/maps/RuinsOfAlph_Lab/scripts.inc:536,src/data/pokemon/species_info/gen_1_families.h:19843
139,1,Omastar,SPECIES_OMASTAR,base,OMANYTE,Comum,"ROCK, WATER",3,"ABILITY_LIMBER, ABILITY_TANGLING_HAIR, ABILITY_ROUGH_SKIN",entrada,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_3",,src/data/pokemon/species_info/gen_1_families.h:19926
161,2,Sentret,SPECIES_SENTRET,base,SENTRET,Comum,NORMAL,1,ABILITY_RATTLED,entrada,EGG_GROUP_FIELD,gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_2_families.h:951
162,2,Furret,SPECIES_FURRET,base,SENTRET,Comum,NORMAL,3,"ABILITY_QUICK_FEET, ABILITY_STAKEOUT, ABILITY_SCRAPPY",entrada,EGG_GROUP_FIELD,gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_2_families.h:1024
165,2,Ledyba,SPECIES_LEDYBA,base,LEDYBA,Comum,"BUG, FLYING",1,ABILITY_FRIEND_GUARD,entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_2_families.h:1254
166,2,Ledian,SPECIES_LEDIAN,base,LEDYBA,Comum,"BUG, FLYING",3,"ABILITY_FRIEND_GUARD, ABILITY_TINTED_LENS, ABILITY_DEFIANT",entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_2_families.h:1340
191,2,Sunkern,SPECIES_SUNKERN,base,SUNKERN,Comum,GRASS,1,ABILITY_SEED_SOWER,entrada,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_2_families.h:3271
192,2,Sunflora,SPECIES_SUNFLORA,base,SUNKERN,Comum,GRASS,3,"ABILITY_SEED_SOWER, ABILITY_FLOWER_VEIL, ABILITY_DROUGHT",entrada,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_2_families.h:3350
204,2,Pineco,SPECIES_PINECO,base,PINECO,Comum,BUG,1,ABILITY_BATTLE_ARMOR,entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_2_families.h:4675
205,2,Forretress,SPECIES_FORRETRESS,base,PINECO,Comum,"BUG, STEEL",3,"ABILITY_BATTLE_ARMOR, ABILITY_IRON_BARBS, ABILITY_STEELWORKER",entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_2_families.h:4752
209,2,Snubbull,SPECIES_SNUBBULL,base,SNUBBULL,Comum,FAIRY,1,ABILITY_GUARD_DOG,entrada,"EGG_GROUP_FIELD, EGG_GROUP_FAIRY",,src/data/pokemon/species_info/gen_2_families.h:5207
210,2,Granbull,SPECIES_GRANBULL,base,SNUBBULL,Comum,FAIRY,3,"ABILITY_GUARD_DOG, ABILITY_STRONG_JAW, ABILITY_TOUGH_CLAWS",entrada,"EGG_GROUP_FIELD, EGG_GROUP_FAIRY",,src/data/pokemon/species_info/gen_2_families.h:5282
213,2,Shuckle,SPECIES_SHUCKLE,base,SHUCKLE,Comum,"BUG, ROCK",3,"ABILITY_SOLID_ROCK, ABILITY_FILTER, ABILITY_PASTEL_VEIL",entrada,EGG_GROUP_BUG,script_gift_var@data/maps/CianwoodHouse3/scripts.inc:30,src/data/pokemon/species_info/gen_2_families.h:5587
218,2,Slugma,SPECIES_SLUGMA,base,SLUGMA,Comum,FIRE,1,ABILITY_SOLID_ROCK,entrada,EGG_GROUP_AMORPHOUS,,src/data/pokemon/species_info/gen_2_families.h:6468
219,2,Magcargo,SPECIES_MAGCARGO,base,SLUGMA,Comum,"FIRE, ROCK",3,"ABILITY_SOLID_ROCK, ABILITY_FILTER, ABILITY_EARTH_EATER",entrada,EGG_GROUP_AMORPHOUS,,src/data/pokemon/species_info/gen_2_families.h:6542
223,2,Remoraid,SPECIES_REMORAID,base,REMORAID,Comum,WATER,1,ABILITY_MEGA_LAUNCHER,entrada,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_2",gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_2_families.h:7102
224,2,Octillery,SPECIES_OCTILLERY,base,REMORAID,Comum,WATER,3,"ABILITY_MEGA_LAUNCHER, ABILITY_STICKY_HOLD, ABILITY_BULLETPROOF",entrada,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_2",gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_2_families.h:7178
235,2,Smeargle,SPECIES_SMEARGLE,base,SMEARGLE,Comum,NORMAL,3,"ABILITY_COLOR_CHANGE, ABILITY_MAGICIAN, ABILITY_SYMBIOSIS",entrada,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_2_families.h:8176
238,2,Smoochum,SPECIES_SMOOCHUM,base,JYNX,Comum,"ICE, PSYCHIC",1,ABILITY_CUTE_CHARM,entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:17249
261,3,Poochyena,SPECIES_POOCHYENA,base,POOCHYENA,Comum,DARK,1,ABILITY_STAKEOUT,entrada,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:959
262,3,Mightyena,SPECIES_MIGHTYENA,base,POOCHYENA,Comum,DARK,3,"ABILITY_STAKEOUT, ABILITY_STRONG_JAW, ABILITY_DARK_AURA",entrada,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:1041
265,3,Wurmple,SPECIES_WURMPLE,base,WURMPLE,Comum,BUG,1,ABILITY_STENCH,entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_3_families.h:1491
266,3,Silcoon,SPECIES_SILCOON,base,WURMPLE,Comum,BUG,1,ABILITY_BATTLE_ARMOR,entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_3_families.h:1572
267,3,Beautifly,SPECIES_BEAUTIFLY,base,WURMPLE,Comum,"BUG, FLYING",3,"ABILITY_SHIELD_DUST, ABILITY_TINTED_LENS, ABILITY_DAZZLING",entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_3_families.h:1645
268,3,Cascoon,SPECIES_CASCOON,base,WURMPLE,Comum,BUG,1,ABILITY_BATTLE_ARMOR,entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_3_families.h:1743
269,3,Dustox,SPECIES_DUSTOX,base,WURMPLE,Comum,"BUG, POISON",3,"ABILITY_POISON_POINT, ABILITY_FILTER, ABILITY_MAGIC_GUARD",entrada,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_3_families.h:1824
270,3,Lotad,SPECIES_LOTAD,base,LOTAD,Comum,"WATER, GRASS",1,ABILITY_HYDRATION,entrada,"EGG_GROUP_WATER_1, EGG_GROUP_GRASS",gacha@src/game_corner_gacha.c; script_gift@data/maps/Route25_BillsHouse/scripts.inc:145,src/data/pokemon/species_info/gen_3_families.h:1932
271,3,Lombre,SPECIES_LOMBRE,base,LOTAD,Comum,"WATER, GRASS",2,"ABILITY_HYDRATION, ABILITY_DANCER",entrada,"EGG_GROUP_WATER_1, EGG_GROUP_GRASS",gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_3_families.h:2005
272,3,Ludicolo,SPECIES_LUDICOLO,base,LOTAD,Comum,"WATER, GRASS",3,"ABILITY_HYDRATION, ABILITY_DANCER, ABILITY_TRIAGE",entrada,"EGG_GROUP_WATER_1, EGG_GROUP_GRASS",gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_3_families.h:2080
273,3,Seedot,SPECIES_SEEDOT,base,SEEDOT,Comum,GRASS,1,ABILITY_SEED_SOWER,entrada,"EGG_GROUP_FIELD, EGG_GROUP_GRASS",gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_3_families.h:2175
274,3,Nuzleaf,SPECIES_NUZLEAF,base,SEEDOT,Comum,"GRASS, DARK",2,"ABILITY_SEED_SOWER, ABILITY_STAKEOUT",entrada,"EGG_GROUP_FIELD, EGG_GROUP_GRASS",gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_3_families.h:2254
275,3,Shiftry,SPECIES_SHIFTRY,base,SEEDOT,Comum,"GRASS, DARK",3,"ABILITY_SEED_SOWER, ABILITY_STAKEOUT, ABILITY_DARK_AURA",entrada,"EGG_GROUP_FIELD, EGG_GROUP_GRASS",gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_3_families.h:2344
276,3,Taillow,SPECIES_TAILLOW,base,TAILLOW,Comum,"NORMAL, FLYING",1,ABILITY_BIG_PECKS,entrada,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_3_families.h:2439
277,3,Swellow,SPECIES_SWELLOW,base,TAILLOW,Comum,"NORMAL, FLYING",3,"ABILITY_BIG_PECKS, ABILITY_GALE_WINGS, ABILITY_AERILATE",entrada,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_3_families.h:2518
283,3,Surskit,SPECIES_SURSKIT,base,SURSKIT,Comum,"BUG, WATER",1,ABILITY_WATER_COMPACTION,entrada,"EGG_GROUP_WATER_1, EGG_GROUP_BUG",,src/data/pokemon/species_info/gen_3_families.h:3306
284,3,Masquerain,SPECIES_MASQUERAIN,base,SURSKIT,Comum,"BUG, FLYING",3,"ABILITY_WATER_COMPACTION, ABILITY_TINTED_LENS, ABILITY_WIND_POWER",entrada,"EGG_GROUP_WATER_1, EGG_GROUP_BUG",,src/data/pokemon/species_info/gen_3_families.h:3381
287,3,Slakoth,SPECIES_SLAKOTH,base,SLAKOTH,Comum,NORMAL,1,ABILITY_COMATOSE,entrada,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:3635
288,3,Vigoroth,SPECIES_VIGOROTH,base,SLAKOTH,Comum,NORMAL,2,"ABILITY_QUICK_FEET, ABILITY_DEFIANT",entrada,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:3710
289,3,Slaking,SPECIES_SLAKING,base,SLAKOTH,Comum,NORMAL,2,"ABILITY_COMATOSE, ABILITY_STAMINA",entrada,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:3785
293,3,Whismur,SPECIES_WHISMUR,base,WHISMUR,Comum,NORMAL,1,ABILITY_PUNK_ROCK,entrada,"EGG_GROUP_MONSTER, EGG_GROUP_FIELD",,src/data/pokemon/species_info/gen_3_families.h:4108
294,3,Loudred,SPECIES_LOUDRED,base,WHISMUR,Comum,NORMAL,2,"ABILITY_PUNK_ROCK, ABILITY_BERSERK",entrada,"EGG_GROUP_MONSTER, EGG_GROUP_FIELD",,src/data/pokemon/species_info/gen_3_families.h:4187
295,3,Exploud,SPECIES_EXPLOUD,base,WHISMUR,Comum,NORMAL,3,"ABILITY_PUNK_ROCK, ABILITY_BERSERK, ABILITY_SHEER_FORCE",entrada,"EGG_GROUP_MONSTER, EGG_GROUP_FIELD",,src/data/pokemon/species_info/gen_3_families.h:4260
300,3,Skitty,SPECIES_SKITTY,base,SKITTY,Comum,NORMAL,1,ABILITY_FRIEND_GUARD,entrada,"EGG_GROUP_FIELD, EGG_GROUP_FAIRY",,src/data/pokemon/species_info/gen_3_families.h:4651
301,3,Delcatty,SPECIES_DELCATTY,base,SKITTY,Comum,NORMAL,3,"ABILITY_FRIEND_GUARD, ABILITY_FUR_COAT, ABILITY_PIXILATE",entrada,"EGG_GROUP_FIELD, EGG_GROUP_FAIRY",,src/data/pokemon/species_info/gen_3_families.h:4727
311,3,Plusle,SPECIES_PLUSLE,base,PLUSLE,Comum,ELECTRIC,2,"ABILITY_BATTERY, ABILITY_CHEEK_POUCH",entrada,EGG_GROUP_FAIRY,,src/data/pokemon/species_info/gen_3_families.h:5918
312,3,Minun,SPECIES_MINUN,base,MINUN,Comum,ELECTRIC,2,"ABILITY_BATTERY, ABILITY_FRIEND_GUARD",entrada,EGG_GROUP_FAIRY,,src/data/pokemon/species_info/gen_3_families.h:5998
313,3,Volbeat,SPECIES_VOLBEAT,base,VOLBEAT_ILLUMISE,Comum,BUG,2,"ABILITY_DAZZLING, ABILITY_BATTERY",entrada,"EGG_GROUP_BUG, EGG_GROUP_HUMAN_LIKE",,src/data/pokemon/species_info/gen_3_families.h:6078
314,3,Illumise,SPECIES_ILLUMISE,base,VOLBEAT_ILLUMISE,Comum,BUG,2,"ABILITY_DAZZLING, ABILITY_SWEET_VEIL",entrada,"EGG_GROUP_BUG, EGG_GROUP_HUMAN_LIKE",,src/data/pokemon/species_info/gen_3_families.h:6160
316,3,Gulpin,SPECIES_GULPIN,base,GULPIN,Comum,POISON,1,ABILITY_POISON_TOUCH,entrada,EGG_GROUP_AMORPHOUS,,src/data/pokemon/species_info/gen_3_families.h:6504
317,3,Swalot,SPECIES_SWALOT,base,GULPIN,Comum,POISON,3,"ABILITY_POISON_TOUCH, ABILITY_STAMINA, ABILITY_CORROSION",entrada,EGG_GROUP_AMORPHOUS,,src/data/pokemon/species_info/gen_3_families.h:6592
320,3,Wailmer,SPECIES_WAILMER,base,WAILMER,Comum,WATER,1,ABILITY_THICK_FAT,entrada,"EGG_GROUP_FIELD, EGG_GROUP_WATER_2",,src/data/pokemon/species_info/gen_3_families.h:6917
321,3,Wailord,SPECIES_WAILORD,base,WAILMER,Comum,WATER,3,"ABILITY_THICK_FAT, ABILITY_STAMINA, ABILITY_WATER_BUBBLE",entrada,"EGG_GROUP_FIELD, EGG_GROUP_WATER_2",,src/data/pokemon/species_info/gen_3_families.h:6993
325,3,Spoink,SPECIES_SPOINK,base,SPOINK,Comum,PSYCHIC,1,ABILITY_MAGIC_GUARD,entrada,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:7408
326,3,Grumpig,SPECIES_GRUMPIG,base,SPOINK,Comum,PSYCHIC,3,"ABILITY_MAGIC_GUARD, ABILITY_PSYCHIC_SURGE, ABILITY_BERSERK",entrada,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:7488
327,3,Spinda,SPECIES_SPINDA,base,SPINDA,Comum,NORMAL,3,"ABILITY_SIMPLE, ABILITY_DANCER, ABILITY_MAGIC_GUARD",entrada,"EGG_GROUP_FIELD, EGG_GROUP_HUMAN_LIKE",script_gift@data/maps/Route25_BillsHouse/scripts.inc:144,src/data/pokemon/species_info/gen_3_families.h:7563
335,3,Zangoose,SPECIES_ZANGOOSE,base,ZANGOOSE,Comum,NORMAL,3,"ABILITY_SHARPNESS, ABILITY_TOUGH_CLAWS, ABILITY_MERCILESS",entrada,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_3_families.h:8287
336,3,Seviper,SPECIES_SEVIPER,base,SEVIPER,Comum,POISON,3,"ABILITY_POISON_TOUCH, ABILITY_MERCILESS, ABILITY_STRONG_JAW",entrada,"EGG_GROUP_FIELD, EGG_GROUP_DRAGON",,src/data/pokemon/species_info/gen_3_families.h:8366
337,3,Lunatone,SPECIES_LUNATONE,base,LUNATONE,Comum,"ROCK, PSYCHIC",2,"ABILITY_MAGIC_GUARD, ABILITY_PSYCHIC_SURGE",entrada,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_3_families.h:8446
338,3,Solrock,SPECIES_SOLROCK,base,SOLROCK,Comum,"ROCK, PSYCHIC",2,"ABILITY_MAGIC_GUARD, ABILITY_FLAME_BODY",entrada,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_3_families.h:8529
341,3,Corphish,SPECIES_CORPHISH,base,CORPHISH,Comum,WATER,1,ABILITY_STRONG_JAW,entrada,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_3",,src/data/pokemon/species_info/gen_3_families.h:8785
342,3,Crawdaunt,SPECIES_CRAWDAUNT,base,CORPHISH,Comum,"WATER, DARK",3,"ABILITY_STRONG_JAW, ABILITY_MERCILESS, ABILITY_TOUGH_CLAWS",entrada,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_3",,src/data/pokemon/species_info/gen_3_families.h:8861
347,3,Anorith,SPECIES_ANORITH,base,ANORITH,Comum,"ROCK, BUG",1,ABILITY_SHARPNESS,entrada,EGG_GROUP_WATER_3,script_gift@data/maps/RuinsOfAlph_Lab/scripts.inc:448; script_gift_var@data/maps/RuinsOfAlph_Lab/scripts.inc:446,src/data/pokemon/species_info/gen_3_families.h:9254
348,3,Armaldo,SPECIES_ARMALDO,base,ANORITH,Comum,"ROCK, BUG",3,"ABILITY_SHARPNESS, ABILITY_TOUGH_CLAWS, ABILITY_TOXIC_DEBRIS",entrada,EGG_GROUP_WATER_3,,src/data/pokemon/species_info/gen_3_families.h:9336
351,3,Castform,SPECIES_CASTFORM_NORMAL,base,CASTFORM,Comum,NORMAL,1,ABILITY_FLOWER_VEIL,entrada,"EGG_GROUP_FAIRY, EGG_GROUP_AMORPHOUS",gacha@src/game_corner_gacha.c; script_gift@data/maps/SafariZoneGate_SafariZoneEntrance/scripts.inc:181,src/data/pokemon/species_info/gen_3_families.h:9593
351,3,Castform,SPECIES_CASTFORM_RAINY,forma,CASTFORM,Comum,WATER,1,ABILITY_HYDRATION,entrada,"EGG_GROUP_FAIRY, EGG_GROUP_AMORPHOUS",,src/data/pokemon/species_info/gen_3_families.h:9759
351,3,Castform,SPECIES_CASTFORM_SNOWY,forma,CASTFORM,Comum,ICE,1,ABILITY_ICE_BODY,entrada,"EGG_GROUP_FAIRY, EGG_GROUP_AMORPHOUS",,src/data/pokemon/species_info/gen_3_families.h:9841
351,3,Castform,SPECIES_CASTFORM_SUNNY,forma,CASTFORM,Comum,FIRE,1,ABILITY_SOLAR_POWER,entrada,"EGG_GROUP_FAIRY, EGG_GROUP_AMORPHOUS",,src/data/pokemon/species_info/gen_3_families.h:9675
352,3,Kecleon,SPECIES_KECLEON,base,KECLEON,Comum,NORMAL,2,"ABILITY_MAGICIAN, ABILITY_SKILL_LINK",entrada,EGG_GROUP_FIELD,static_battle@data/scripts/kecleon.inc:74,src/data/pokemon/species_info/gen_3_families.h:9926
366,3,Clamperl,SPECIES_CLAMPERL,base,CLAMPERL,Comum,WATER,2,"ABILITY_WATER_COMPACTION, ABILITY_WATER_BUBBLE",entrada,EGG_GROUP_WATER_1,gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_3_families.h:11669
367,3,Huntail,SPECIES_HUNTAIL,base,CLAMPERL,Comum,WATER,3,"ABILITY_STRONG_JAW, ABILITY_DIVER, ABILITY_STAKEOUT",entrada,EGG_GROUP_WATER_1,gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_3_families.h:11748
368,3,Gorebyss,SPECIES_GOREBYSS,base,CLAMPERL,Comum,WATER,3,"ABILITY_DAZZLING, ABILITY_MERCILESS, ABILITY_WATER_BUBBLE",entrada,EGG_GROUP_WATER_1,gacha@src/game_corner_gacha.c,src/data/pokemon/species_info/gen_3_families.h:11822
