NatDex,Especie,Const,Geracao,ExisteNoRepo,Habilitada,Obtivel,Classificacao,MetodoLocal,Evidencia
33,Nidorino,SPECIES_NIDORINO,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE42,src/data/wild_encounters.json (MAP_ROUTE42)
34,Nidoking,SPECIES_NIDOKING,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ VAJRA_DESERT_EAST,src/data/wild_encounters.json (MAP_VAJRA_DESERT_EAST)
35,Clefairy,SPECIES_CLEFAIRY,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE34,src/data/wild_encounters.json (MAP_ROUTE34)
36,Clefable,SPECIES_CLEFABLE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
37,Vulpix,SPECIES_VULPIX,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE33,src/data/wild_encounters.json (MAP_ROUTE33)
38,Ninetales,SPECIES_NINETALES,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE28,src/data/wild_encounters.json (MAP_ROUTE28)
39,Jigglypuff,SPECIES_JIGGLYPUFF,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE35,src/data/wild_encounters.json (MAP_ROUTE35)
40,Wigglytuff,SPECIES_WIGGLYTUFF,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
41,Zubat,SPECIES_ZUBAT,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ DARK_CAVE_SOUTH_SIDE; Wild encounter @ UNION_CAVE_1F; Wild encounter @ UNION_CAVE_B1F,src/data/wild_encounters.json (MAP_DARK_CAVE_SOUTH_SIDE)
42,Golbat,SPECIES_GOLBAT,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ CLIFF_EDGE_CAVE; Wild encounter @ DARK_CAVE_NORTH_SIDE; Wild encounter @ MT_MORTAR_1F_NORTH; Wild encounter @ MT_MORTAR_1F_SOUTH; Wild encounter @ MT_MORTAR_B1F; Wild encounter @ MT_SILVER_3F; Wild encounter @ UNION_CAVE_B2F; Wild encou,src/data/wild_encounters.json (MAP_UNION_CAVE_B2F)
43,Oddish,SPECIES_ODDISH,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Hidden Grotto @ HIDDEN_GROTTO_ILEX; Wild encounter @ ILEX_FOREST,src/data/wild_encounters.json (MAP_ILEX_FOREST)
44,Gloom,SPECIES_GLOOM,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE48,src/data/wild_encounters.json (MAP_ROUTE48)
45,Vileplume,SPECIES_VILEPLUME,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
46,Paras,SPECIES_PARAS,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:6701
47,Parasect,SPECIES_PARASECT,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:6793
48,Venonat,SPECIES_VENONAT,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:6876
49,Venomoth,SPECIES_VENOMOTH,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:6956
50,Diglett,SPECIES_DIGLETT,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ UNION_CAVE_B2F,src/data/wild_encounters.json (MAP_UNION_CAVE_B2F)
51,Dugtrio,SPECIES_DUGTRIO,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ CLIFF_EDGE_CAVE; Wild encounter @ KITAKAMI_WELL_B1F,src/data/wild_encounters.json (MAP_CLIFF_EDGE_CAVE)
52,Meowth,SPECIES_MEOWTH,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; In-game trade; Wild encounter @ ROUTE31,src/data/wild_encounters.json (MAP_ROUTE31)
53,Persian,SPECIES_PERSIAN,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
54,Psyduck,SPECIES_PSYDUCK,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:7887
55,Golduck,SPECIES_GOLDUCK,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:7961
56,Mankey,SPECIES_MANKEY,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE36; Wild encounter @ RUINS_OF_ALPH_OUTSIDE,src/data/wild_encounters.json (MAP_ROUTE36)
57,Primeape,SPECIES_PRIMEAPE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
58,Growlithe,SPECIES_GROWLITHE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; NPC gift (script) @ ROUTE25_BILLS_HOUSE; Wild encounter @ ROUTE36; Wild encounter @ ROUTE46,src/data/wild_encounters.json (MAP_ROUTE46)
59,Arcanine,SPECIES_ARCANINE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ MT_SILVER_OUTSIDE,src/data/wild_encounters.json (MAP_MT_SILVER_OUTSIDE)
60,Poliwag,SPECIES_POLIWAG,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ BLACKTHORN_CITY; Wild encounter @ ECRUTEAK_CITY; Wild encounter @ ILEX_FOREST; Wild encounter @ KITAKAMI_WELL_B1F; Wild encounter @ MT_SILVER_1F_ITEM_ROOM; Wild encounter @ MT_SILVER_OUTSIDE; Wild encounter @ ROUTE28; Wild encounter @ R,src/data/wild_encounters.json (MAP_ROUTE30)
61,Poliwhirl,SPECIES_POLIWHIRL,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ BLACKTHORN_CITY; Wild encounter @ ECRUTEAK_CITY; Wild encounter @ ILEX_FOREST; Wild encounter @ KITAKAMI_WELL_B1F; Wild encounter @ MT_SILVER_1F_ITEM_ROOM; Wild encounter @ MT_SILVER_OUTSIDE; Wild encounter @ ROUTE28; Wild encounter @ R,src/data/wild_encounters.json (MAP_ROUTE30)
62,Poliwrath,SPECIES_POLIWRATH,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ KITAKAMI_WELL_B1F; Wild encounter @ MT_SILVER_OUTSIDE; Wild encounter @ ROUTE28,src/data/wild_encounters.json (MAP_MT_SILVER_OUTSIDE)
63,Abra,SPECIES_ABRA,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE34,src/data/wild_encounters.json (MAP_ROUTE34)
64,Kadabra,SPECIES_KADABRA,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
65,Alakazam,SPECIES_ALAKAZAM,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
66,Machop,SPECIES_MACHOP,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE33,src/data/wild_encounters.json (MAP_ROUTE33)
67,Machoke,SPECIES_MACHOKE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ MT_MORTAR_1F_NORTH; Wild encounter @ MT_MORTAR_1F_SOUTH; Wild encounter @ MT_MORTAR_B1F; Wild encounter @ MT_SILVER_3F,src/data/wild_encounters.json (MAP_MT_MORTAR_1F_SOUTH)
68,Machamp,SPECIES_MACHAMP,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ MT_SILVER_2F,src/data/wild_encounters.json (MAP_MT_SILVER_2F)
69,Bellsprout,SPECIES_BELLSPROUT,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE31; Wild encounter @ ROUTE36,src/data/wild_encounters.json (MAP_ROUTE31)
70,Weepinbell,SPECIES_WEEPINBELL,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ LAKE_OF_RAGE,src/data/wild_encounters.json (MAP_LAKE_OF_RAGE)
71,Victreebel,SPECIES_VICTREEBEL,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
72,Tentacool,SPECIES_TENTACOOL,1,Sim,Sim,Sim,Obtível normalmente,"Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; NPC gift (script) @ CIANWOOD_POKECENTER; NPC gift (script, var) @ CIANWOOD_POKECENTER; Wild encounter @ CHERRYGROVE_CITY; Wild encounter @ NEW_BARK_TOWN; Wild encounter @ OLIVINE_CITY_PORT_OUTSIDE; Wild encounter @ ROUTE26; Wild encounter @ ROUTE27; Wil",src/data/wild_encounters.json (MAP_ROUTE32)
73,Tentacruel,SPECIES_TENTACRUEL,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Static battle @ ROUTE41; Wild encounter @ CHERRYGROVE_CITY; Wild encounter @ NEW_BARK_TOWN; Wild encounter @ OLIVINE_CITY_PORT_OUTSIDE; Wild encounter @ ROUTE26; Wild encounter @ ROUTE27; Wild encounter @ ROUTE32; Wild encounter @ ROUTE41; Wild encounte,src/data/wild_encounters.json (MAP_ROUTE32)
74,Geodude,SPECIES_GEODUDE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ DARK_CAVE_SOUTH_SIDE; Wild encounter @ ROCKET_HIDEOUT_B1F; Wild encounter @ ROUTE46; Wild encounter @ RUINS_OF_ALPH_OUTSIDE; Wild encounter @ UNION_CAVE_1F; Wild encounter @ UNION_CAVE_B1F,src/data/wild_encounters.json (MAP_ROUTE46)
75,Graveler,SPECIES_GRAVELER,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ DARK_CAVE_NORTH_SIDE; Wild encounter @ MT_MORTAR_1F_NORTH; Wild encounter @ MT_MORTAR_1F_SOUTH; Wild encounter @ MT_MORTAR_B1F,src/data/wild_encounters.json (MAP_MT_MORTAR_1F_SOUTH)
76,Golem,SPECIES_GOLEM,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ MT_SILVER_3F; Wild encounter @ VICTORY_ROAD_KANTO_1F; Wild encounter @ VICTORY_ROAD_KANTO_B1F; Wild encounter @ VICTORY_ROAD_KANTO_B2F,src/data/wild_encounters.json (MAP_VICTORY_ROAD_KANTO_B2F)
77,Ponyta,SPECIES_PONYTA,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE39,src/data/wild_encounters.json (MAP_ROUTE39)
78,Rapidash,SPECIES_RAPIDASH,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE28,src/data/wild_encounters.json (MAP_ROUTE28)
79,Slowpoke,SPECIES_SLOWPOKE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ SLOWPOKE_WELL_B1F; Wild encounter @ SLOWPOKE_WELL_B2F; Wild encounter @ TOHJO_FALLS_CAVERN; Wild encounter @ UNION_CAVE_B1F,src/data/wild_encounters.json (MAP_UNION_CAVE_B1F)
80,Slowbro,SPECIES_SLOWBRO,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ SLOWPOKE_WELL_B1F; Wild encounter @ SLOWPOKE_WELL_B2F; Wild encounter @ TOHJO_FALLS_CAVERN; Wild encounter @ UNION_CAVE_1F; Wild encounter @ UNION_CAVE_B1F,src/data/wild_encounters.json (MAP_UNION_CAVE_1F)
81,Magnemite,SPECIES_MAGNEMITE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ RAILWAY_CAVE; Wild encounter @ RAILWAY_CAVE_2F; Wild encounter @ RAILWAY_CAVE_3F; Wild encounter @ ROUTE38; Wild encounter @ ROUTE39,src/data/wild_encounters.json (MAP_ROUTE38)
82,Magneton,SPECIES_MAGNETON,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; In-game trade,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
83,Farfetch'd,SPECIES_FARFETCHD,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE43,src/data/wild_encounters.json (MAP_ROUTE43)
84,Doduo,SPECIES_DODUO,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:11768
85,Dodrio,SPECIES_DODRIO,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:11857
86,Seel,SPECIES_SEEL,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE47; Wild encounter @ WHIRL_ISLANDS_1F; Wild encounter @ WHIRL_ISLANDS_B1F; Wild encounter @ WHIRL_ISLANDS_B2F,src/data/wild_encounters.json (MAP_WHIRL_ISLANDS_1F)
87,Dewgong,SPECIES_DEWGONG,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ WHIRL_ISLANDS_DESCENT,src/data/wild_encounters.json (MAP_WHIRL_ISLANDS_DESCENT)
88,Grimer,SPECIES_GRIMER,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE34,src/data/wild_encounters.json (MAP_ROUTE34)
89,Muk,SPECIES_MUK,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ CLIFF_EDGE_CAVE,src/data/wild_encounters.json (MAP_CLIFF_EDGE_CAVE)
90,Shellder,SPECIES_SHELLDER,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ CHERRYGROVE_CITY; Wild encounter @ OLIVINE_CITY_PORT_OUTSIDE; Wild encounter @ ROUTE28; Wild encounter @ ROUTE32; Wild encounter @ ROUTE41; Wild encounter @ ROUTE47; Wild encounter @ RUINS_OF_ALPH_OUTSIDE; Wild encounter @ UNION_CAVE_B2,src/data/wild_encounters.json (MAP_RUINS_OF_ALPH_OUTSIDE)
91,Cloyster,SPECIES_CLOYSTER,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE28; Wild encounter @ RUINS_OF_ALPH_OUTSIDE; Wild encounter @ UNION_CAVE_B2F; Wild encounter @ VICTORY_ROAD_KANTO_B1F,src/data/wild_encounters.json (MAP_RUINS_OF_ALPH_OUTSIDE)
92,Gastly,SPECIES_GASTLY,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ SPROUT_TOWER_2F; Wild encounter @ SPROUT_TOWER_3F,src/data/wild_encounters.json (MAP_SPROUT_TOWER_2F)
93,Haunter,SPECIES_HAUNTER,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; In-game trade; Wild encounter @ TIN_TOWER_3F; Wild encounter @ TIN_TOWER_4F; Wild encounter @ TIN_TOWER_5F; Wild encounter @ TIN_TOWER_6F; Wild encounter @ TIN_TOWER_7F; Wild encounter @ TIN_TOWER_8F; Wild encounter @ TIN_TOWER_9F,src/data/wild_encounters.json (MAP_TIN_TOWER_3F)
94,Gengar,SPECIES_GENGAR,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ VAJRA_PYRAMID_FLOOR1; Wild encounter @ VAJRA_PYRAMID_FLOOR2; Wild encounter @ VAJRA_PYRAMID_FLOOR3; Wild encounter @ VAJRA_PYRAMID_FLOOR4,src/data/wild_encounters.json (MAP_VAJRA_PYRAMID_FLOOR1)
95,Onix,SPECIES_ONIX,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ CLIFF_EDGE_CAVE; Wild encounter @ MT_SILVER_3F; Wild encounter @ UNION_CAVE_1F; Wild encounter @ UNION_CAVE_B1F,src/data/wild_encounters.json (MAP_UNION_CAVE_1F)
96,Drowzee,SPECIES_DROWZEE,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:13200
97,Hypno,SPECIES_HYPNO,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:13280
