EspecieBase,Forma,ConstInterna,Categoria,ExisteNoRepo,Habilitada,ObtivelPermanente,ComoObter/Ativar,TransformacaoDeBatalha,Evidencia
GRAVELER,GRAVELER_ALOLA,SPECIES_GRAVELER_ALOLA,Regional (Alola),Sim,Sim,Sim,"evolution: from SPECIES_GEODUDE_ALOLA : EVO_LEVEL, 25, SPECIES_GRAVELER_ALOLA",,src/data/pokemon/species_info/gen_1_families.h:10338
GOLEM,GOLEM_ALOLA,SPECIES_GOLEM_ALOLA,Regional (Alola),Sim,Sim,Sim,"evolution: from SPECIES_GRAVELER_ALOLA : EVO_ITEM, ITEM_LINKING_CORD, SPECIES_GOLEM_ALOLA",,src/data/pokemon/species_info/gen_1_families.h:10415
GRIMER,GRIMER_ALOLA,SPECIES_GRIMER_ALOLA,Regional (Alola),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:12261
MUK,MUK_ALOLA,SPECIES_MUK_ALOLA,Regional (Alola),Sim,Sim,Sim,"evolution: from SPECIES_GRIMER_ALOLA : EVO_LEVEL, 38, SPECIES_MUK_ALOLA",,src/data/pokemon/species_info/gen_1_families.h:12335
EXEGGUTOR,EXEGGUTOR_ALOLA,SPECIES_EXEGGUTOR_ALOLA,Regional (Alola),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:14047
MAROWAK,MAROWAK_ALOLA,SPECIES_MAROWAK_ALOLA,Regional (Alola),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_LEFT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:14283
MEOWTH,MEOWTH_GALAR,SPECIES_MEOWTH_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:7688
PONYTA,PONYTA_GALAR,SPECIES_PONYTA_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:10636
RAPIDASH,RAPIDASH_GALAR,SPECIES_RAPIDASH_GALAR,Regional (Galar),Sim,Sim,Sim,"evolution: from SPECIES_PONYTA_GALAR : EVO_LEVEL, 32, SPECIES_RAPIDASH_GALAR",,src/data/pokemon/species_info/gen_1_families.h:10705
SLOWPOKE,SLOWPOKE_GALAR,SPECIES_SLOWPOKE_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:11082
SLOWBRO,SLOWBRO_GALAR,SPECIES_SLOWBRO_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:11155
FARFETCHD,FARFETCHD_GALAR,SPECIES_FARFETCHD_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:11627
WEEZING,WEEZING_GALAR,SPECIES_WEEZING_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:15051
MR_MIME,MR_MIME_GALAR,SPECIES_MR_MIME_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_LEFT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:16771
ARTICUNO,ARTICUNO_GALAR,SPECIES_ARTICUNO_GALAR,Regional (Galar),Sim,Sim,Sim,Presente de NPC @ BATTLE_CAFE [data/maps/BattleCafe/scripts.inc:1267],,src/data/pokemon/species_info/gen_1_families.h:20616
ZAPDOS,ZAPDOS_GALAR,SPECIES_ZAPDOS_GALAR,Regional (Galar),Sim,Sim,Sim,Presente de NPC @ BATTLE_CAFE [data/maps/BattleCafe/scripts.inc:1287],,src/data/pokemon/species_info/gen_1_families.h:20774
MOLTRES,MOLTRES_GALAR,SPECIES_MOLTRES_GALAR,Regional (Galar),Sim,Sim,Sim,Presente de NPC @ BATTLE_CAFE [data/maps/BattleCafe/scripts.inc:1307],,src/data/pokemon/species_info/gen_1_families.h:20956
SLOWKING,SLOWKING_GALAR,SPECIES_SLOWKING_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:11225
CORSOLA,CORSOLA_GALAR,SPECIES_CORSOLA_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_2_families.h:6964
ZIGZAGOON,ZIGZAGOON_GALAR,SPECIES_ZIGZAGOON_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_3_families.h:1286
LINOONE,LINOONE_GALAR,SPECIES_LINOONE_GALAR,Regional (Galar),Sim,Sim,Sim,"evolution: from SPECIES_ZIGZAGOON_GALAR : EVO_LEVEL, 20, SPECIES_LINOONE_GALAR",,src/data/pokemon/species_info/gen_3_families.h:1355
DARUMAKA,DARUMAKA_GALAR,SPECIES_DARUMAKA_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_5_families.h:5361
DARMANITAN_STANDARD,DARMANITAN_GALAR_STANDARD,SPECIES_DARMANITAN_GALAR_STANDARD,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_RIGHT [src/data/wild_encounters.json],Ao trocar (batalha); HP baixo em batalha,src/data/pokemon/species_info/gen_5_families.h:5430
YAMASK,YAMASK_GALAR,SPECIES_YAMASK_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_LEFT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_5_families.h:6222
STUNFISK,STUNFISK_GALAR,SPECIES_STUNFISK_GALAR,Regional (Galar),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_LEFT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_5_families.h:11165
GROWLITHE,GROWLITHE_HISUI,SPECIES_GROWLITHE_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:8416
ARCANINE,ARCANINE_HISUI,SPECIES_ARCANINE_HISUI,Regional (Hisui),Sim,Sim,Sim,"evolution: from SPECIES_GROWLITHE_HISUI : EVO_ITEM, ITEM_FIRE_STONE, SPECIES_ARCANINE_HISUI",,src/data/pokemon/species_info/gen_1_families.h:8485
VOLTORB,VOLTORB_HISUI,SPECIES_VOLTORB_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_LEFT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:13741
ELECTRODE,ELECTRODE_HISUI,SPECIES_ELECTRODE_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_LEFT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:13809
TYPHLOSION,TYPHLOSION_HISUI,SPECIES_TYPHLOSION_HISUI,Regional (Hisui),Sim,Sim,Sim,"evolution: from SPECIES_QUILAVA : EVO_ITEM, ITEM_DUSK_STONE, SPECIES_TYPHLOSION_HISUI",,src/data/pokemon/species_info/gen_2_families.h:590
QWILFISH,QWILFISH_HISUI,SPECIES_QWILFISH_HISUI,Regional (Hisui),Sim,Sim,Sim,breeding: egg from SPECIES_OVERQWIL,,src/data/pokemon/species_info/gen_2_families.h:5446
SNEASEL,SNEASEL_HISUI,SPECIES_SNEASEL_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_LEFT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_2_families.h:6012
SAMUROTT,SAMUROTT_HISUI,SPECIES_SAMUROTT_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_5_families.h:817
LILLIGANT,LILLIGANT_HISUI,SPECIES_LILLIGANT_HISUI,Regional (Hisui),Sim,Sim,Sim,"evolution: from SPECIES_PETILIL : EVO_ITEM, ITEM_DUSK_STONE, SPECIES_LILLIGANT_HISUI",,src/data/pokemon/species_info/gen_5_families.h:4515
ZORUA,ZORUA_HISUI,SPECIES_ZORUA_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_LEFT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_5_families.h:7016
ZOROARK,ZOROARK_HISUI,SPECIES_ZOROARK_HISUI,Regional (Hisui),Sim,Sim,Sim,"evolution: from SPECIES_ZORUA_HISUI : EVO_LEVEL, 30, SPECIES_ZOROARK_HISUI",,src/data/pokemon/species_info/gen_5_families.h:7085
BRAVIARY,BRAVIARY_HISUI,SPECIES_BRAVIARY_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_5_families.h:12104
SLIGGOO,SLIGGOO_HISUI,SPECIES_SLIGGOO_HISUI,Regional (Hisui),Sim,Sim,Sim,breeding: egg from SPECIES_GOODRA_HISUI,,src/data/pokemon/species_info/gen_6_families.h:5420
GOODRA,GOODRA_HISUI,SPECIES_GOODRA_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_6_families.h:5492
AVALUGG,AVALUGG_HISUI,SPECIES_AVALUGG_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_6_families.h:6479
DECIDUEYE,DECIDUEYE_HISUI,SPECIES_DECIDUEYE_HISUI,Regional (Hisui),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_RIGHT [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_7_families.h:222
PIKACHU,PIKACHU_COSPLAY,SPECIES_PIKACHU_COSPLAY,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3141
PIKACHU,PIKACHU_ROCK_STAR,SPECIES_PIKACHU_ROCK_STAR,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3195
PIKACHU,PIKACHU_BELLE,SPECIES_PIKACHU_BELLE,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3249
PIKACHU,PIKACHU_POP_STAR,SPECIES_PIKACHU_POP_STAR,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3304
PIKACHU,PIKACHU_PHD,SPECIES_PIKACHU_PHD,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3359
PIKACHU,PIKACHU_LIBRE,SPECIES_PIKACHU_LIBRE,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3413
