Categoria,Familia_ou_sistema,Asset,Arquivo,Simbolo,Tamanho_na_ROM,Duplicado_com,Estado,Uso_real,Otimizacao_proposta,Economia_estimada,Risco,Validacao_necessaria
Fontes,Sistema de texto,Glyphs de fonte (varias variantes de largura),graphics/fonts/*,gFont*Glyphs,373760,,NECESSARIO,Renderizacao de texto em todos os idiomas suportados,Nenhuma sem remover suporte a idioma/variante de fonte,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Battle Frontier,Trainer Hill / Frontier,Slides de trainer (efeito de entrada em batalha),graphics/battle_frontier/*,"sTrainerSlides, sFrontierTrainerSlides",342567,,REQUER_INVESTIGACAO,Efeito visual ao enfrentar treinadores no Battle Frontier,Confirmar alcancabilidade do Frontier antes de decidir,0,MEDIO,"MEDIDO o tamanho; alcancabilidade PROVAVEL - 47 pastas de mapa 'Frontier' e 53 conexoes de mapa referenciando MAP_BATTLE_FRONTIER* encontradas, mas nao foi percorrido o caminho de scripts do inicio ao fim"
Animacao de batalha,Movimentos,Scripts/dados de animacao de golpes,src/data/battle_anim*,"sBattleAnim*, gBattleAnimSpriteSheet* etc.",321640,,NECESSARIO,Efeito visual de cada golpe em batalha,Nenhuma,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Feature removivel,Conectividade GBA-GameCube,Payload Multiboot: bonus disc Pokemon Colosseum (Eevee/Pichu via cabo link real),include/multiboot_pokemon_colosseum.h,gMultiBootProgram_PokemonColosseum_Start,163840,,FEATURE_REMOVIVEL,Rodrigo incondicional em src/intro.c (tela de copyright) verificando handshake GBA-GameCube real a cada boot; sem flag de config para desligar,"Remover exige mudanca de CODIGO em src/intro.c (nao e so tirar um arquivo), pois a chamada a GameCubeMultiBoot_Init/Main/ExecuteProgram e incondicional",163840,MEDIO,"MEDIDO (symbol=163840B); decisao de produto - feature de hardware real (GBA+GameCube+cabo link) quase certamente irrelevante para um romhack voltado a emulador/flashcart; risco funcional baixo (ninguem tem esse setup), risco de fidelidade 'a decomp original' existe"
Feature removivel,Conectividade GBA-GameCube,Payload Multiboot: E-Reader,include/*,gMultiBootProgram_EReader_Start,12512,,FEATURE_REMOVIVEL,Mesmo mecanismo do item acima (e-Reader dot-codes via GBA-GC),Mesma mudanca de codigo do item acima,12512,MEDIO,MEDIDO; agrupar com a remocao do Multiboot Colosseum
Feature removivel,Conectividade GBA-GameCube,Payload Multiboot: correcao de bug de Berry (hardware real RS),include/*,gMultiBootProgram_BerryGlitchFix_Start,15348,,FEATURE_REMOVIVEL,"Mesmo mecanismo, corrige um bug de hardware real do Ruby/Sapphire original, irrelevante aqui",Mesma mudanca de codigo do item acima,15348,MEDIO,MEDIDO; agrupar com a remocao do Multiboot Colosseum
Feature removivel,Mystery Gift / Mystery Event / Wonder Card,Dados e graficos residuais de Mystery Gift,"src/data/*, include/config/save.h","*MysteryGift*, *MysteryEvent*, *WonderCard*",24800,,FEATURE_REMOVIVEL,RAM ja foi liberada via FREE_MYSTERY_EVENT_BUFFERS=TRUE e FREE_MYSTERY_GIFT=TRUE (economia de EWRAM ja aplicada); resta apenas o codigo/dados de ROM,"Avaliar se ha algum caminho de distribuicao de Mystery Gift real no hack (cabo link/senha); se nao houver, remover chamadas e tabelas associadas",24800,MEDIO,"MEDIDO; ver tambem 'FREE_BATTLE_TOWER_E_READER=TRUE' no mesmo arquivo, que ja libera RAM de dados de E-Reader do Battle Tower"
Feature removivel,Union Room,Graficos/dados residuais de Union Room,src/union_room*.c,*UnionRoom*,20505,,REQUER_INVESTIGACAO,"OW_UNION_DISABLE_CHECK=TRUE ja remove APENAS a checagem de notificacao na Pokemon Center (otimizacao de tempo de carregamento, nao remove a feature)","Confirmar se Union Room (troca/batalha local por cabo) e uma feature que o hack pretende manter; se nao, remover chamadas e liberar o codigo/dados",20505,MEDIO,"MEDIDO; a flag existente e so um atalho de performance, nao desliga a feature"
Contest,Concursos de beleza,"Dados e graficos de Contest (categorias, efeitos, cenario)","src/data/contest*, graphics/*",*Contest*,126562,,REQUER_INVESTIGACAO,"include/config/contest.h so define atualizacoes de categoria/efeito (C_UPDATED_MOVE_*), nao contem flag para desligar a feature inteira","Confirmar se ha Contest Hall acessivel nos mapas do hack; se a feature nunca foi conectada ao mundo, e uma forte candidata a remocao de codigo+dados",126562,MEDIO,MEDIDO o tamanho; alcancabilidade NAO CONFIRMADA - requer grep dedicado por mapas de 'Contest Hall' e scripts que iniciem o modo Contest
Item gfx,Itens,Icones e paletas de item,graphics/items/*,gItemIcon*,124190,,NECESSARIO,Exibido no inventario/mapa/loja,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Texto,Strings,Tabelas de texto diversas,src/data/text/*,"gText_*, sText_*",109255,,NECESSARIO,"Dialogos, menus, descricoes",0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Berries,Sistema de berries,Graficos de berry (plantada/crescendo/colhida),graphics/berries/*,*Berry*,94993,,NECESSARIO,Minijogo de plantar berries,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Clima,Efeitos de clima overworld,"Paletas e sprites de clima (chuva, neblina, etc)",graphics/weather/*,*Weather*,85145,,NECESSARIO,Efeito visual de clima no overworld,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Icones,Paletas de icone,Paleta normal/shiny de todos os icones,graphics/pokemon/*/icon_*.gbapal,"gMonIconPalette_*, gMonShinyIconPalette_*",81822,,NECESSARIO,Cor do icone no menu,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Follower/Overworld,Paletas,Paleta normal/shiny do sprite seguidor,graphics/pokemon/*/overworld_*.gbapal,"gOverworldPalette_*, gShinyOverworldPalette_*",77228,,NECESSARIO,Cor do seguidor no mapa,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Mapas/Tileset,Animacao de tileset,"Frames de animacao de tile (agua, bandeiras, etc)",graphics/*/tileset_anims/*,*TilesetAnim*,76032,,NECESSARIO,Animacoes ambientais dos mapas,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Codigo e tabelas,Dados de golpe,Tabela monolitica gMovesInfo,src/data/moves_info.h,gMovesInfo,67392,,NECESSARIO,Dados de todos os golpes do jogo,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Pokedex,UI da Pokedex,Graficos de tela da Pokedex,graphics/pokedex/*,*Pokedex*,49875,,NECESSARIO,Tela da Pokedex,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Field effects,Efeitos de campo,"Sprites de efeitos (poeira, corte de arvore, etc)",graphics/field_effects/*,*FieldEffect*,48751,,NECESSARIO,Feedback visual de HMs/interacoes,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Paletas,Pokemon (normal),Paleta normal de batalha,graphics/pokemon/*/normal.gbapal,gMonPalette_*,45730,,NECESSARIO,Cor do sprite de batalha,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Paletas,Pokemon (shiny),Paleta shiny de batalha,graphics/pokemon/*/shiny.gbapal,gMonShinyPalette_*,43750,,NECESSARIO,Cor do sprite shiny,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Codigo e tabelas,Dados de item,Tabela monolitica gItemsInfo,src/data/items_info.h,gItemsInfo,40920,,NECESSARIO,Dados de todos os itens do jogo,0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Feature removivel,Decoracao Battle Frontier/Union,Icones/mini-dados de Mystery Gift adicionais,varios,*,25338,,NECESSARIO,Metadados de tabela de cry (nao confundir com as amostras em si),0,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Debug,Menus de debug,Codigo residual de debug em build release,src/*,(14 simbolos T pequenos contendo 'Debug'),2400,,POSSIVELMENTE_NAO_USADO,"DISABLED_ON_RELEASE ja desliga o GATILHO dos menus; sobra pouquissimo codigo (2,4KB) provavelmente helpers compartilhados","Nao vale o esforco - 0,007% da ROM",0,BAIXO,"MEDIDO (nm em Soulgold.elf); confirma que a estrategia DISABLED_ON_RELEASE funciona bem, quase nada sobra"
Front sprite - segundo frame,Pokemon (todas especies com anim_front),Frame 2 de animacao (idle bounce) embutido em todo anim_front.4bpp,"graphics/pokemon/*/anim_front.4bpp (4096B = 2x2048B por frame, 100% dos 933+384 arquivos verificados)",gMonFrontPic_* (parte comprimida do simbolo),676000,,SEGUNDO_FRAME,Anima suavemente o sprite de batalha (efeito de respiracao) - CONFIRMADO: todo anim_front.4bpp tem exatamente 4096 bytes (2 frames de 2048B) em 100% de uma amostra de 933 arquivos verificados,"Remover o 2o frame de animacao eliminaria a maior parte desse custo, mas exige: (1) mudanca de codigo na engine de animacao de sprite de batalha, (2) reprocessar todo o pipeline de arte (anim_front vira front simples), (3) validar visualmente as ~950 especies. NAO e uma troca de ponteiro simples.",676000,ALTO,"CALCULADO (amostra/extrapolacao, ver metodologia no resumo): comprimiu-se com a ferramenta real do projeto (tools/compresSmol) apenas o 1o frame de 41 especies-amostra (front pics do menor ao maior) e comparou-se ao .smol atual (2 frames); o 2o frame correspondeu a 43,6% do peso comprimido da amostra (21572 de 49424 bytes). Extrapolado para o total medido da categoria Front sprite (1.551.588B): 1.551.588 x 0,436 = 676.492B. Margem de erro esperada: a compressao explora redundancia entre os 2 frames, entao o numero real pode variar +-15%"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Deoxys (4 formas) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Deoxys)",26312,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",26312,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Reshiram (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Reshiram)",19684,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",19684,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Zekrom (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Zekrom)",22210,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",22210,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Kyurem (+White/Black) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Kyurem)",51414,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",51414,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Keldeo (2 formas) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Keldeo)",14132,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",14132,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Xerneas (2 formas) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Xerneas)",22269,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",22269,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Yveltal (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Yveltal)",19812,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",19812,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Zygarde (varias formas) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Zygarde)",57042,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",57042,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Volcanion (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Volcanion)",16908,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",16908,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Cosmog (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Cosmog)",11466,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",11466,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Cosmoem (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Cosmoem)",16176,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",16176,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Solgaleo (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Solgaleo)",19254,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",19254,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Lunala (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Lunala)",17668,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",17668,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
