phase,action,trainer_id,trainer,scope,decision,reason,guard,implementation_report
1,PROMOTE_HARD_TO_DEFAULT,890,TRAINER_DIRECTOR,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,891,TRAINER_TITLE_DEFENSE_FALKNER,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,892,TRAINER_TITLE_DEFENSE_BUGSY,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,893,TRAINER_TITLE_DEFENSE_WHITNEY,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,894,TRAINER_TITLE_DEFENSE_MORTY,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,895,TRAINER_TITLE_DEFENSE_CHUCK,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,896,TRAINER_TITLE_DEFENSE_JASMINE,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,897,TRAINER_TITLE_DEFENSE_PRYCE,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,898,TRAINER_TITLE_DEFENSE_CLAIR,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,899,TRAINER_NAMELESS_LEAF,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,927,TRAINER_VAJRA_EAST_SIROCCO,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,928,TRAINER_VAJRA_EAST_SOL,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,929,TRAINER_VAJRA_EAST_DUNE,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,930,TRAINER_VAJRA_EAST_NORI,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,931,TRAINER_VAJRA_EAST_ATLAS,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,932,TRAINER_VAJRA_EAST_DYLAN,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,933,TRAINER_ROUTE50_ROWAN,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,934,TRAINER_ROUTE50_CASPIAN,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,935,TRAINER_ROUTE50_IGNIS,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,936,TRAINER_SPIRIT1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,937,TRAINER_SPIRIT2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,938,TRAINER_SPIRIT3,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,940,TRAINER_CAFE_DOVES,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,941,TRAINER_CAFE_ELTON,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,942,TRAINER_CAFE_NEM,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,943,TRAINER_CAFE_BAI,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,944,TRAINER_CAFE_DRAC,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,945,TRAINER_CAFE_JUNA,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,946,TRAINER_CAFE_TYLARIE,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,947,TRAINER_CAFE_ATHENA,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,948,TRAINER_TITLE_DEFENSE_ELDER_LI,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,949,TRAINER_TITLE_DEFENSE_DIRECTOR,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,950,TRAINER_TITLE_DEFENSE_LEAF,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
