row,NatDex,Geracao,Familia,Especie_Forma,Constante,Arquivo,TipoEdicao,MacroOuStruct,AbilitiesNaturaisReais,InnatesAplicadas,InnatesSugeridasPlanilha,Status,Observacao
15,511,5,PANSAGE,Pansage,SPECIES_PANSAGE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_PANSAGE,"ABILITY_GLUTTONY, ABILITY_NONE, ABILITY_OVERGROW",ABILITY_CHLOROPHYLL,ABILITY_CHLOROPHYLL,implementado,
16,512,5,PANSAGE,Simisage,SPECIES_SIMISAGE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SIMISAGE,"ABILITY_GLUTTONY, ABILITY_NONE, ABILITY_OVERGROW","ABILITY_CHLOROPHYLL, ABILITY_GENERALIST, ABILITY_LEAF_GUARD","ABILITY_CHLOROPHYLL, ABILITY_GENERALIST, ABILITY_LEAF_GUARD",implementado,
17,513,5,PANSEAR,Pansear,SPECIES_PANSEAR,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_PANSEAR,"ABILITY_GLUTTONY, ABILITY_NONE, ABILITY_BLAZE",ABILITY_SOLAR_POWER,ABILITY_SOLAR_POWER,implementado,
18,514,5,PANSEAR,Simisear,SPECIES_SIMISEAR,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SIMISEAR,"ABILITY_GLUTTONY, ABILITY_NONE, ABILITY_BLAZE","ABILITY_SOLAR_POWER, ABILITY_GENERALIST, ABILITY_FLASH_FIRE","ABILITY_SOLAR_POWER, ABILITY_GENERALIST, ABILITY_FLASH_FIRE",implementado,
19,515,5,PANPOUR,Panpour,SPECIES_PANPOUR,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_PANPOUR,"ABILITY_GLUTTONY, ABILITY_NONE, ABILITY_TORRENT",ABILITY_SWIFT_SWIM,ABILITY_SWIFT_SWIM,implementado,
20,516,5,PANPOUR,Simipour,SPECIES_SIMIPOUR,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SIMIPOUR,"ABILITY_GLUTTONY, ABILITY_NONE, ABILITY_TORRENT","ABILITY_SWIFT_SWIM, ABILITY_GENERALIST, ABILITY_HYDRATION","ABILITY_SWIFT_SWIM, ABILITY_GENERALIST, ABILITY_HYDRATION",implementado,
21,517,5,MUNNA,Munna,SPECIES_MUNNA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_MUNNA,"ABILITY_FOREWARN, ABILITY_SYNCHRONIZE, ABILITY_TELEPATHY",ABILITY_MAGIC_GUARD,ABILITY_MAGIC_GUARD,implementado,
22,518,5,MUNNA,Musharna,SPECIES_MUSHARNA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_MUSHARNA,"ABILITY_FOREWARN, ABILITY_SYNCHRONIZE, ABILITY_TELEPATHY","ABILITY_MAGIC_GUARD, ABILITY_SOOTHING, ABILITY_COMPETITIVE","ABILITY_MAGIC_GUARD, ABILITY_SOOTHING, ABILITY_COMPETITIVE",implementado,
23,519,5,PIDOVE,Pidove,SPECIES_PIDOVE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_PIDOVE,"ABILITY_BIG_PECKS, ABILITY_SUPER_LUCK, ABILITY_RIVALRY",ABILITY_UNDERDOG,ABILITY_UNDERDOG,implementado,
24,520,5,PIDOVE,Tranquill,SPECIES_TRANQUILL,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_TRANQUILL,"ABILITY_BIG_PECKS, ABILITY_SUPER_LUCK, ABILITY_RIVALRY","ABILITY_UNDERDOG, ABILITY_PACK_LEADER","ABILITY_UNDERDOG, ABILITY_PACK_LEADER",implementado,
25,521,5,PIDOVE,Unfezant,SPECIES_UNFEZANT,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_UNFEZANT,"ABILITY_BIG_PECKS, ABILITY_SUPER_LUCK, ABILITY_RIVALRY","ABILITY_WINDCALLER, ABILITY_UNDERDOG, ABILITY_PACK_LEADER","ABILITY_WINDCALLER, ABILITY_UNDERDOG, ABILITY_PACK_LEADER",implementado,
26,522,5,BLITZLE,Blitzle,SPECIES_BLITZLE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_BLITZLE,"ABILITY_LIGHTNING_ROD, ABILITY_MOTOR_DRIVE, ABILITY_SAP_SIPPER",ABILITY_VOLT_ABSORB,ABILITY_VOLT_ABSORB,implementado,
27,523,5,BLITZLE,Zebstrika,SPECIES_ZEBSTRIKA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_ZEBSTRIKA,"ABILITY_LIGHTNING_ROD, ABILITY_MOTOR_DRIVE, ABILITY_SAP_SIPPER","ABILITY_RECKLESS, ABILITY_VOLT_ABSORB, ABILITY_GALVANIZE","ABILITY_RECKLESS, ABILITY_VOLT_ABSORB, ABILITY_GALVANIZE",implementado,
28,524,5,ROGGENROLA,Roggenrola,SPECIES_ROGGENROLA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_ROGGENROLA,"ABILITY_STURDY, ABILITY_WEAK_ARMOR, ABILITY_SAND_FORCE",ABILITY_SOLID_ROCK,ABILITY_SOLID_ROCK,implementado,
29,525,5,ROGGENROLA,Boldore,SPECIES_BOLDORE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_BOLDORE,"ABILITY_STURDY, ABILITY_WEAK_ARMOR, ABILITY_SAND_FORCE","ABILITY_SOLID_ROCK, ABILITY_ROCK_AND_STONE","ABILITY_SOLID_ROCK, ABILITY_ROCK_AND_STONE",implementado,
30,526,5,ROGGENROLA,Gigalith,SPECIES_GIGALITH,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_GIGALITH,"ABILITY_STURDY, ABILITY_SAND_STREAM, ABILITY_SAND_FORCE","ABILITY_STONE_SENTINEL, ABILITY_SOLIDIFY, ABILITY_ROCK_AND_STONE","ABILITY_STONE_SENTINEL, ABILITY_SOLIDIFY, ABILITY_ROCK_AND_STONE",implementado,
31,527,5,WOOBAT,Woobat,SPECIES_WOOBAT,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_WOOBAT,"ABILITY_UNAWARE, ABILITY_KLUTZ, ABILITY_SIMPLE",ABILITY_MAGIC_GUARD,ABILITY_MAGIC_GUARD,implementado,
32,528,5,WOOBAT,Swoobat,SPECIES_SWOOBAT,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SWOOBAT,"ABILITY_UNAWARE, ABILITY_KLUTZ, ABILITY_SIMPLE","ABILITY_TINTED_LENS, ABILITY_MAGIC_GUARD, ABILITY_TELEPATHY","ABILITY_TINTED_LENS, ABILITY_MAGIC_GUARD, ABILITY_TELEPATHY",implementado,
33,532,5,TIMBURR,Timburr,SPECIES_TIMBURR,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_TIMBURR,"ABILITY_GUTS, ABILITY_SHEER_FORCE, ABILITY_IRON_FIST",ABILITY_SCRAPPY,ABILITY_SCRAPPY,implementado,
34,533,5,TIMBURR,Gurdurr,SPECIES_GURDURR,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_GURDURR,"ABILITY_GUTS, ABILITY_SHEER_FORCE, ABILITY_IRON_FIST","ABILITY_SCRAPPY, ABILITY_MOLD_BREAKER","ABILITY_SCRAPPY, ABILITY_MOLD_BREAKER",implementado,
35,534,5,TIMBURR,Conkeldurr,SPECIES_CONKELDURR,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_CONKELDURR,"ABILITY_GUTS, ABILITY_SHEER_FORCE, ABILITY_IRON_FIST","ABILITY_SCRAPPY, ABILITY_MOLD_BREAKER, ABILITY_DEFIANT","ABILITY_SCRAPPY, ABILITY_MOLD_BREAKER, ABILITY_DEFIANT",implementado,
36,535,5,TYMPOLE,Tympole,SPECIES_TYMPOLE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_TYMPOLE,"ABILITY_SWIFT_SWIM, ABILITY_HYDRATION, ABILITY_WATER_ABSORB",ABILITY_RAIN_DISH,ABILITY_RAIN_DISH,implementado,
37,536,5,TYMPOLE,Palpitoad,SPECIES_PALPITOAD,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_PALPITOAD,"ABILITY_SWIFT_SWIM, ABILITY_HYDRATION, ABILITY_WATER_ABSORB","ABILITY_RAIN_DISH, ABILITY_STORM_DRAIN","ABILITY_RAIN_DISH, ABILITY_STORM_DRAIN",implementado,
38,537,5,TYMPOLE,Seismitoad,SPECIES_SEISMITOAD,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SEISMITOAD,"ABILITY_SWIFT_SWIM, ABILITY_POISON_TOUCH, ABILITY_WATER_ABSORB","ABILITY_HYDRATION, ABILITY_RAIN_DISH, ABILITY_STORM_DRAIN","ABILITY_HYDRATION, ABILITY_RAIN_DISH, ABILITY_STORM_DRAIN",implementado,
39,538,5,THROH,Throh,SPECIES_THROH,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_THROH,"ABILITY_GUTS, ABILITY_INNER_FOCUS, ABILITY_MOLD_BREAKER","ABILITY_IRON_FIST, ABILITY_SCRAPPY, ABILITY_DEFIANT","ABILITY_IRON_FIST, ABILITY_SCRAPPY, ABILITY_DEFIANT",implementado,
40,539,5,SAWK,Sawk,SPECIES_SAWK,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SAWK,"ABILITY_STURDY, ABILITY_INNER_FOCUS, ABILITY_MOLD_BREAKER","ABILITY_SHARPNESS, ABILITY_IRON_FIST, ABILITY_GUTS","ABILITY_SHARPNESS, ABILITY_IRON_FIST, ABILITY_GUTS",implementado,
41,557,5,DWEBBLE,Dwebble,SPECIES_DWEBBLE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_DWEBBLE,"ABILITY_STURDY, ABILITY_SHELL_ARMOR, ABILITY_WEAK_ARMOR",ABILITY_COMPOUND_EYES,ABILITY_COMPOUND_EYES,implementado,
42,558,5,DWEBBLE,Crustle,SPECIES_CRUSTLE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_CRUSTLE,"ABILITY_STURDY, ABILITY_SHELL_ARMOR, ABILITY_WEAK_ARMOR","ABILITY_SOLID_ROCK, ABILITY_COMPOUND_EYES, ABILITY_TINTED_LENS","ABILITY_SOLID_ROCK, ABILITY_COMPOUND_EYES, ABILITY_TINTED_LENS",implementado,
43,561,5,SIGILYPH,Sigilyph,SPECIES_SIGILYPH,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SIGILYPH,"ABILITY_WONDER_SKIN, ABILITY_MAGIC_GUARD, ABILITY_TINTED_LENS","ABILITY_LEVITATE, ABILITY_TELEPATHY, ABILITY_COMPETITIVE","ABILITY_LEVITATE, ABILITY_TELEPATHY, ABILITY_COMPETITIVE",implementado,
44,564,5,TIRTOUGA,Tirtouga,SPECIES_TIRTOUGA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_TIRTOUGA,"ABILITY_SOLID_ROCK, ABILITY_STURDY, ABILITY_SWIFT_SWIM",ABILITY_HYDRATION,ABILITY_HYDRATION,implementado,
45,565,5,TIRTOUGA,Carracosta,SPECIES_CARRACOSTA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_CARRACOSTA,"ABILITY_SOLID_ROCK, ABILITY_STURDY, ABILITY_SWIFT_SWIM","ABILITY_HYDRATION, ABILITY_RAIN_DISH, ABILITY_WATER_ABSORB","ABILITY_HYDRATION, ABILITY_RAIN_DISH, ABILITY_WATER_ABSORB",implementado,
46,568,5,TRUBBISH,Trubbish,SPECIES_TRUBBISH,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_TRUBBISH,"ABILITY_STENCH, ABILITY_STICKY_HOLD, ABILITY_AFTERMATH",ABILITY_POISON_TOUCH,ABILITY_POISON_TOUCH,implementado,
47,569,5,TRUBBISH,Garbodor,SPECIES_GARBODOR,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_GARBODOR,"ABILITY_STENCH, ABILITY_WEAK_ARMOR, ABILITY_AFTERMATH","ABILITY_POISON_TOUCH, ABILITY_CORROSION, ABILITY_MERCILESS","ABILITY_POISON_TOUCH, ABILITY_CORROSION, ABILITY_MERCILESS",implementado,
48,569,5,TRUBBISH,Garbodor,SPECIES_GARBODOR_GMAX,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_GARBODOR_GMAX,"ABILITY_STENCH, ABILITY_WEAK_ARMOR, ABILITY_AFTERMATH","ABILITY_POISON_TOUCH, ABILITY_CORROSION, ABILITY_MERCILESS","ABILITY_POISON_TOUCH, ABILITY_CORROSION, ABILITY_MERCILESS",implementado,
49,574,5,GOTHITA,Gothita,SPECIES_GOTHITA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_GOTHITA,"ABILITY_FRISK, ABILITY_COMPETITIVE, ABILITY_SHADOW_TAG",ABILITY_MAGIC_GUARD,ABILITY_MAGIC_GUARD,implementado,
50,575,5,GOTHITA,Gothorita,SPECIES_GOTHORITA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_GOTHORITA,"ABILITY_FRISK, ABILITY_COMPETITIVE, ABILITY_SHADOW_TAG","ABILITY_MAGIC_GUARD, ABILITY_TELEPATHY","ABILITY_MAGIC_GUARD, ABILITY_TELEPATHY",implementado,
51,576,5,GOTHITA,Gothitelle,SPECIES_GOTHITELLE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_GOTHITELLE,"ABILITY_FRISK, ABILITY_COMPETITIVE, ABILITY_SHADOW_TAG","ABILITY_REACTIVE, ABILITY_MAGIC_GUARD, ABILITY_TELEPATHY","ABILITY_REACTIVE, ABILITY_MAGIC_GUARD, ABILITY_TELEPATHY",implementado,
52,580,5,DUCKLETT,Ducklett,SPECIES_DUCKLETT,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_DUCKLETT,"ABILITY_KEEN_EYE, ABILITY_BIG_PECKS, ABILITY_HYDRATION",ABILITY_SWIFT_SWIM,ABILITY_SWIFT_SWIM,implementado,
53,581,5,DUCKLETT,Swanna,SPECIES_SWANNA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SWANNA,"ABILITY_KEEN_EYE, ABILITY_BIG_PECKS, ABILITY_HYDRATION","ABILITY_RAIN_DISH, ABILITY_WINDCALLER, ABILITY_SWIFT_SWIM","ABILITY_RAIN_DISH, ABILITY_WINDCALLER, ABILITY_SWIFT_SWIM",implementado,
54,582,5,VANILLITE,Vanillite,SPECIES_VANILLITE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_VANILLITE,"ABILITY_ICE_BODY, ABILITY_SNOW_CLOAK, ABILITY_WEAK_ARMOR",ABILITY_SLUSH_RUSH,ABILITY_SLUSH_RUSH,implementado,
55,583,5,VANILLITE,Vanillish,SPECIES_VANILLISH,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_VANILLISH,"ABILITY_ICE_BODY, ABILITY_SNOW_CLOAK, ABILITY_WEAK_ARMOR","ABILITY_SLUSH_RUSH, ABILITY_SNOW_WARNING","ABILITY_SLUSH_RUSH, ABILITY_SNOW_WARNING",implementado,
56,584,5,VANILLITE,Vanilluxe,SPECIES_VANILLUXE,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_VANILLUXE,"ABILITY_ICE_BODY, ABILITY_SNOW_WARNING, ABILITY_WEAK_ARMOR","ABILITY_SLUSH_RUSH, ABILITY_FILTER, ABILITY_SNOW_CLOAK","ABILITY_SLUSH_RUSH, ABILITY_FILTER, ABILITY_SNOW_CLOAK",implementado,
57,585,5,DEERLING,Deerling,SPECIES_DEERLING_AUTUMN,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_DEERLING_AUTUMN,"ABILITY_CHLOROPHYLL, ABILITY_SAP_SIPPER, ABILITY_SERENE_GRACE",ABILITY_UNDERDOG,ABILITY_UNDERDOG,implementado,
58,585,5,DEERLING,Deerling,SPECIES_DEERLING_SPRING,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_DEERLING_SPRING,"ABILITY_CHLOROPHYLL, ABILITY_SAP_SIPPER, ABILITY_SERENE_GRACE",ABILITY_UNDERDOG,ABILITY_UNDERDOG,implementado,
59,585,5,DEERLING,Deerling,SPECIES_DEERLING_SUMMER,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_DEERLING_SUMMER,"ABILITY_CHLOROPHYLL, ABILITY_SAP_SIPPER, ABILITY_SERENE_GRACE",ABILITY_UNDERDOG,ABILITY_UNDERDOG,implementado,
60,585,5,DEERLING,Deerling,SPECIES_DEERLING_WINTER,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_DEERLING_WINTER,"ABILITY_CHLOROPHYLL, ABILITY_SAP_SIPPER, ABILITY_SERENE_GRACE",ABILITY_UNDERDOG,ABILITY_UNDERDOG,implementado,
61,586,5,DEERLING,Sawsbuck,SPECIES_SAWSBUCK_AUTUMN,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SAWSBUCK_AUTUMN,"ABILITY_CHLOROPHYLL, ABILITY_SAP_SIPPER, ABILITY_SERENE_GRACE","ABILITY_UNDERDOG, ABILITY_PACK_LEADER, ABILITY_GENERALIST","ABILITY_UNDERDOG, ABILITY_PACK_LEADER, ABILITY_GENERALIST",implementado,
62,586,5,DEERLING,Sawsbuck,SPECIES_SAWSBUCK_SPRING,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SAWSBUCK_SPRING,"ABILITY_CHLOROPHYLL, ABILITY_SAP_SIPPER, ABILITY_SERENE_GRACE","ABILITY_UNDERDOG, ABILITY_PACK_LEADER, ABILITY_GENERALIST","ABILITY_UNDERDOG, ABILITY_PACK_LEADER, ABILITY_GENERALIST",implementado,
63,586,5,DEERLING,Sawsbuck,SPECIES_SAWSBUCK_SUMMER,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SAWSBUCK_SUMMER,"ABILITY_CHLOROPHYLL, ABILITY_SAP_SIPPER, ABILITY_SERENE_GRACE","ABILITY_UNDERDOG, ABILITY_PACK_LEADER, ABILITY_GENERALIST","ABILITY_UNDERDOG, ABILITY_PACK_LEADER, ABILITY_GENERALIST",implementado,
64,586,5,DEERLING,Sawsbuck,SPECIES_SAWSBUCK_WINTER,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SAWSBUCK_WINTER,"ABILITY_CHLOROPHYLL, ABILITY_SAP_SIPPER, ABILITY_SERENE_GRACE","ABILITY_UNDERDOG, ABILITY_PACK_LEADER, ABILITY_GENERALIST","ABILITY_UNDERDOG, ABILITY_PACK_LEADER, ABILITY_GENERALIST",implementado,
65,590,5,FOONGUS,Foongus,SPECIES_FOONGUS,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_FOONGUS,"ABILITY_EFFECT_SPORE, ABILITY_NONE, ABILITY_REGENERATOR",ABILITY_THICK_FAT,ABILITY_THICK_FAT,implementado,
66,591,5,FOONGUS,Amoonguss,SPECIES_AMOONGUSS,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_AMOONGUSS,"ABILITY_EFFECT_SPORE, ABILITY_NONE, ABILITY_REGENERATOR","ABILITY_THICK_FAT, ABILITY_CHLOROPHYLL, ABILITY_LEAF_GUARD","ABILITY_THICK_FAT, ABILITY_CHLOROPHYLL, ABILITY_LEAF_GUARD",implementado,
67,592,5,FRILLISH,Frillish,SPECIES_FRILLISH,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_FRILLISH,"ABILITY_WATER_ABSORB, ABILITY_CURSED_BODY, ABILITY_DAMP",ABILITY_SWIFT_SWIM,ABILITY_SWIFT_SWIM,implementado,
68,593,5,FRILLISH,Jellicent,SPECIES_JELLICENT,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_JELLICENT,"ABILITY_WATER_ABSORB, ABILITY_CURSED_BODY, ABILITY_DAMP","ABILITY_SWIFT_SWIM, ABILITY_HYDRATION, ABILITY_RAIN_DISH","ABILITY_SWIFT_SWIM, ABILITY_HYDRATION, ABILITY_RAIN_DISH",implementado,
69,594,5,ALOMOMOLA,Alomomola,SPECIES_ALOMOMOLA,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_ALOMOMOLA,"ABILITY_HEALER, ABILITY_HYDRATION, ABILITY_REGENERATOR","ABILITY_SWIFT_SWIM, ABILITY_RAIN_DISH, ABILITY_WATER_ABSORB","ABILITY_SWIFT_SWIM, ABILITY_RAIN_DISH, ABILITY_WATER_ABSORB",implementado,
70,599,5,KLINK,Klink,SPECIES_KLINK,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_KLINK,"ABILITY_PLUS, ABILITY_MINUS, ABILITY_CLEAR_BODY",ABILITY_STEELWORKER,ABILITY_STEELWORKER,implementado,
71,600,5,KLINK,Klang,SPECIES_KLANG,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_KLANG,"ABILITY_PLUS, ABILITY_MINUS, ABILITY_CLEAR_BODY","ABILITY_STEELWORKER, ABILITY_MOTOR_DRIVE","ABILITY_STEELWORKER, ABILITY_MOTOR_DRIVE",implementado,
72,601,5,KLINK,Klinklang,SPECIES_KLINKLANG,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_KLINKLANG,"ABILITY_PLUS, ABILITY_MINUS, ABILITY_CLEAR_BODY","ABILITY_MOTOR_DRIVE, ABILITY_STEELWORKER, ABILITY_HEAVY_METAL","ABILITY_MOTOR_DRIVE, ABILITY_STEELWORKER, ABILITY_HEAVY_METAL",implementado,
73,605,5,ELGYEM,Elgyem,SPECIES_ELGYEM,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_ELGYEM,"ABILITY_TELEPATHY, ABILITY_SYNCHRONIZE, ABILITY_ANALYTIC",ABILITY_MAGIC_GUARD,ABILITY_MAGIC_GUARD,implementado,
74,606,5,ELGYEM,Beheeyem,SPECIES_BEHEEYEM,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_BEHEEYEM,"ABILITY_TELEPATHY, ABILITY_SYNCHRONIZE, ABILITY_ANALYTIC","ABILITY_PSYCHIC_SURGE, ABILITY_MAGIC_GUARD, ABILITY_COMPETITIVE","ABILITY_PSYCHIC_SURGE, ABILITY_MAGIC_GUARD, ABILITY_COMPETITIVE",implementado,
75,613,5,CUBCHOO,Cubchoo,SPECIES_CUBCHOO,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_CUBCHOO,"ABILITY_SNOW_CLOAK, ABILITY_SLUSH_RUSH, ABILITY_RATTLED",ABILITY_ICE_BODY,ABILITY_ICE_BODY,implementado,
76,614,5,CUBCHOO,Beartic,SPECIES_BEARTIC,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_BEARTIC,"ABILITY_SNOW_CLOAK, ABILITY_SLUSH_RUSH, ABILITY_SWIFT_SWIM","ABILITY_TOUGH_CLAWS, ABILITY_ICE_BODY, ABILITY_SNOW_WARNING","ABILITY_TOUGH_CLAWS, ABILITY_ICE_BODY, ABILITY_SNOW_WARNING",implementado,
77,615,5,CRYOGONAL,Cryogonal,SPECIES_CRYOGONAL,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_CRYOGONAL,"ABILITY_LEVITATE, ABILITY_NONE, ABILITY_NONE","ABILITY_ICE_BODY, ABILITY_FILTER, ABILITY_SLUSH_RUSH","ABILITY_ICE_BODY, ABILITY_FILTER, ABILITY_SLUSH_RUSH",implementado,
78,616,5,SHELMET,Shelmet,SPECIES_SHELMET,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_SHELMET,"ABILITY_HYDRATION, ABILITY_SHELL_ARMOR, ABILITY_OVERCOAT",ABILITY_COMPOUND_EYES,ABILITY_COMPOUND_EYES,implementado,
