id,name,has_party,used_map_script,used_other_system,status,accessible,reason
42,TRAINER_ROSE_4,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
43,TRAINER_BLAINE_OLIVINE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
44,TRAINER_KRISE,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
45,TRAINER_GRUNT_16,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
46,TRAINER_RAYMOND,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
47,TRAINER_KUNI,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
48,TRAINER_KYLE,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
49,TRAINER_LAO,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
50,TRAINER_LEA_AND_PIA,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
51,TRAINER_REENA,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
52,TRAINER_REX,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
53,TRAINER_RICH,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
54,TRAINER_RICKY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
55,TRAINER_ROB,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
56,TRAINER_ROBERT,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
57,TRAINER_LOLA_1,No,Yes,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
58,TRAINER_CODY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
59,TRAINER_GWEN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
60,TRAINER_LOLA_2,No,No,-,UNUSED_NAMED_ID,N/A,Named constant exists in opponents.h but has no party and is never referenced anywhere
61,TRAINER_LOLA_3,No,No,-,UNUSED_NAMED_ID,N/A,Named constant exists in opponents.h but has no party and is never referenced anywhere
62,TRAINER_LOLA_4,No,No,-,UNUSED_NAMED_ID,N/A,Named constant exists in opponents.h but has no party and is never referenced anywhere
63,TRAINER_MAD_SCIENTIST,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
64,TRAINER_RICKY_1,No,Yes,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
65,TRAINER_SIMON,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
66,TRAINER_CHARLIE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
67,TRAINER_RICKY_2,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
68,TRAINER_RICKY_3,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
69,TRAINER_RICKY_4,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
70,TRAINER_RICKY_5,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
71,TRAINER_RANDALL,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
72,TRAINER_PARKER,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
73,TRAINER_GEORGE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
74,TRAINER_BERKE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
75,TRAINER_ELAINE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
76,TRAINER_VINCENT,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
77,TRAINER_LEROY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
78,TRAINER_WILTON_1,No,Yes,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
79,TRAINER_EDGAR,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
80,TRAINER_ALBERT,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
81,TRAINER_SAMUEL,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
82,TRAINER_VITO,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
83,TRAINER_OWEN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
84,TRAINER_WILTON_2,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
85,TRAINER_WILTON_3,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
86,TRAINER_WILTON_4,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
87,TRAINER_WILTON_5,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
88,TRAINER_WARREN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
89,TRAINER_MARY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
90,TRAINER_BARNEY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
91,TRAINER_JODY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
92,TRAINER_WENDY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
93,TRAINER_KEIRA,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
94,TRAINER_EMMA,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
95,TRAINER_GIOVANNI,Yes,No,BattleDome/PWT,OK,Yes,Has party and is triggered via: BattleDome/PWT
96,TRAINER_HOPE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
97,TRAINER_SHANNON,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
98,TRAINER_MICHELLE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
99,TRAINER_CAROLINE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
100,TRAINER_JULIE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
101,TRAINER_ERICK,Yes,No,Rematch/MatchCall,OK,Yes,Has party and is triggered via: Rematch/MatchCall
102,TRAINER_ERIK,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
103,TRAINER_ERIN,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
104,TRAINER_ERNEST,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
105,TRAINER_PATRICIA,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
106,TRAINER_KINDRA,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
107,TRAINER_TAMMY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
108,TRAINER_VALERIE_1,No,Yes,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
109,TRAINER_TASHA,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
110,TRAINER_EMA,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
111,TRAINER_JO,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
112,TRAINER_VALERIE_4,No,No,-,UNUSED_NAMED_ID,N/A,Named constant exists in opponents.h but has no party and is never referenced anywhere
113,TRAINER_VALERIE_5,No,No,-,UNUSED_NAMED_ID,N/A,Named constant exists in opponents.h but has no party and is never referenced anywhere
114,TRAINER_GRUNT_18,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
115,TRAINER_KIPP,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
116,TRAINER_WAI,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
117,TRAINER_GRUNT_19,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
118,TRAINER_ELLEN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
119,TRAINER_NAOMI,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
120,TRAINER_GRUNT_20,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
121,TRAINER_GRUNT_21,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
122,TRAINER_GRUNT_22,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
123,TRAINER_GRUNT_23,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
124,TRAINER_MELISSA,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
125,TRAINER_SHEILA,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
126,TRAINER_SHIRLEY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
127,TRAINER_ARIANA_1,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
128,TRAINER_CONNIE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
129,TRAINER_BRIDGET,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
130,TRAINER_OLIVIA,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
131,TRAINER_TIFFANY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
132,TRAINER_ARIANA_2,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
133,TRAINER_JESSICA_3,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
134,TRAINER_JESSICA_4,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
135,TRAINER_JESSICA_5,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
136,TRAINER_WINSTON_1,No,Yes,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
137,TRAINER_MOLLIE,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
138,TRAINER_GARRET,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
139,TRAINER_RODAROS,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
140,TRAINER_BELMARE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
141,TRAINER_KENNEDY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
142,TRAINER_WINSTON_5,No,No,-,UNUSED_NAMED_ID,N/A,Named constant exists in opponents.h but has no party and is never referenced anywhere
143,TRAINER_STEVE_1,No,Yes,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
144,TRAINER_THALIA_1,No,Yes,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
145,TRAINER_MARK,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
146,TRAINER_TERU,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
147,TRAINER_STEVE_2,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
148,TRAINER_STEVE_3,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
149,TRAINER_STEVE_4,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
150,TRAINER_STEVE_5,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
151,TRAINER_LUIS,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
152,TRAINER_KENNY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
153,TRAINER_DOUGLAS,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
154,TRAINER_JO_AND_ZOE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
155,TRAINER_TONY_1,No,Yes,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
156,TRAINER_JEROME,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
157,TRAINER_MATTHEW,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
158,TRAINER_DAVID,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
159,TRAINER_SPENCER,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
160,TRAINER_ROLAND,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
161,TRAINER_NOLEN,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
162,TRAINER_STAN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
163,TRAINER_BARRY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
164,TRAINER_DEAN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
165,TRAINER_RODNEY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
166,TRAINER_RICHARD,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
167,TRAINER_HERMAN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
168,TRAINER_SANTIAGO,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
169,TRAINER_GILBERT,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
170,TRAINER_FRANKLIN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
171,TRAINER_KEVIN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
172,TRAINER_JACK,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
173,TRAINER_DUDLEY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
174,TRAINER_CHAD,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
175,TRAINER_TONY_2,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
176,TRAINER_TONY_3,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
177,TRAINER_TONY_4,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
178,TRAINER_TONY_5,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
179,TRAINER_TAKAO,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
180,TRAINER_JASMINE_1_3,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
181,TRAINER_KIYO,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
182,TRAINER_KOICHI,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
183,TRAINER_NOB_1,No,Yes,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
184,TRAINER_NOB_2,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
185,TRAINER_NOB_3,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
186,TRAINER_NOB_4,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
187,TRAINER_NOB_5,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
188,TRAINER_YUJI,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
189,TRAINER_JED,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
190,TRAINER_CINDY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
191,TRAINER_KIRK,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
192,TRAINER_STEPHEN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
193,TRAINER_STEVE,Yes,No,-,ORPHANED_PARTY,No,Has a full party defined but is never referenced by any script or game system found
194,TRAINER_SHAWN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
195,TRAINER_NORTON,Yes,No,Rematch/MatchCall,OK,Yes,Has party and is triggered via: Rematch/MatchCall
196,TRAINER_JENN,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
197,TRAINER_JEREMY,Yes,No,Rematch/MatchCall,OK,Yes,Has party and is triggered via: Rematch/MatchCall
198,TRAINER_JERRY,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
199,TRAINER_JESSICA,Yes,No,Rematch/MatchCall,OK,Yes,Has party and is triggered via: Rematch/MatchCall
200,TRAINER_JILL,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
201,TRAINER_COLE,No,No,-,UNUSED_NAMED_ID,N/A,Named constant exists in opponents.h but has no party and is never referenced anywhere
202,TRAINER_JEFF,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
203,TRAINER_COREY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
204,TRAINER_KOGA_2,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
205,TRAINER_KEEGAN,No,No,-,UNUSED_NAMED_ID,N/A,Named constant exists in opponents.h but has no party and is never referenced anywhere
206,TRAINER_DARYL,Yes,No,Rematch/MatchCall,OK,Yes,Has party and is triggered via: Rematch/MatchCall
207,TRAINER_DAVE,Yes,No,Rematch/MatchCall,OK,Yes,Has party and is triggered via: Rematch/MatchCall
208,TRAINER_DAWN,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
209,TRAINER_DENIS,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
210,TRAINER_DIANA,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
211,TRAINER_KOJI,Yes,No,-,ORPHANED_PARTY,No,Has a full party defined but is never referenced by any script or game system found
212,TRAINER_DANIEL,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
213,TRAINER_LARRY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
214,TRAINER_SHANE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
215,TRAINER_JUSTIN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
216,TRAINER_NAOKO,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
217,TRAINER_COLETTE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
218,TRAINER_TRAVIS,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
219,TRAINER_NATHAN,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
220,TRAINER_NEAL,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
221,TRAINER_NICK,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
222,TRAINER_NICO,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
223,TRAINER_BRENT,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
224,TRAINER_DONALD,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
225,TRAINER_TAYLOR,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
226,TRAINER_RIVAL_TOTODILE_5,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
227,TRAINER_DEREK,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
228,TRAINER_RIVAL_TOTODILE_6,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
229,TRAINER_RIVAL_TOTODILE_7,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
